2.5% 25% 50% 75% 97.5%
T[1] 574.20839873754 6679.08390609959 14291.8617734797 21934.7995708516 29295.6929980045
T[2] 685.871688743859 7029.23352528113 14341.2184450473 22153.7930161774 29213.7607819083
T[3] 615.554955562441 6837.48524653388 14429.6157026056 21846.8153560773 29213.1205167551
T[4] 707.471944181818 6825.8819034571 14151.1213636681 21936.6987807628 29389.9263155863
T[5] 555.663704581093 6612.86456126058 14063.3110210556 22086.4829564385 29095.5293886849
T[6] 643.785060682948 6911.89543151196 14050.9611465205 21877.1420792839 29079.4498491531
T[7] 536.728970992874 6992.0476608453 14177.7279186171 21889.9337228031 29088.3365477948
T[8] 779.271860597478 6943.23478326239 13856.0810696151 21945.4110766432 29157.6400029077
T[9] 574.612293182689 6813.74163449978 14281.0283957162 22136.0861249602 29231.769841411
T[10] 559.745071457595 6729.98938535996 14297.4276374596 21930.3889008876 29196.8312860135
T[11] 724.053048224781 6987.21873567205 14091.525333971 21968.6540987253 29186.2294268111
T[12] 661.889197452092 7009.05998434512 14550.164272608 21788.5882538191 29020.1998287799
T[13] 593.531764364282 6410.44267432337 13896.9696620912 21903.0434050758 29163.722933885
T[14] 603.548818949696 7187.16267125043 14841.4305302727 22366.6948335866 29311.2180195142
T[15] 571.48157863291 6277.62861815074 13793.6464764139 21529.6002229907 29128.9812099372
T[16] 486.984195444578 6391.31835467882 13498.602185081 21575.73027864 29001.5542517193
T[17] 625.805343787264 6846.34551457703 13963.2397754203 21708.7392551966 29144.5405930105
T[18] 579.710921348053 6975.32939353201 14253.28021754 21907.9566319572 29187.6345653873
T[19] 585.705110927389 7074.48927299969 14525.1253370161 22532.2504554404 29264.4038473591
T[20] 675.519479900162 6913.33328879616 14414.7950996204 22246.57787237 29246.784770073
T[21] 487.113141087645 6296.46448877708 13854.7316976831 21511.5569618061 29256.3513783986
T[22] 583.7164685013 6676.76584546921 14126.4125308059 21685.5886010738 29036.4443968418
T[23] 617.82070957727 6747.93502107968 14264.6006977008 21935.8103931211 29098.7584600016
T[24] 645.090017301539 6901.19959505564 14647.6402097958 22248.8388018204 29222.8036185798
T[25] 599.219184925783 6673.46730035872 13999.8767504187 21787.4094399903 29161.1220622387
T[26] 431.190825688745 6129.33918130669 13651.0897995092 21694.1560972987 29242.96686414
T[27] 581.906696951996 6461.89157715323 13890.1458038911 21603.6184611783 29147.5125786378
T[28] 746.726475621972 7041.30891292133 14252.9449652462 21771.7169735871 29210.4084241581
T[29] 636.371340161043 6729.38805407627 13938.9719779138 21641.5780525775 29184.7676556395
T[30] 600.165891871993 6368.84805894663 13912.4835127104 21857.3396756227 29169.0348476187
T[31] 676.774618477049 6350.3578649325 13634.6926944411 21407.151486538 29126.1106447463
T[32] 675.600950759052 6788.75253764008 14210.7609315092 22297.2661646915 29072.3217387608
T[33] 619.252897186496 6861.04210593659 13838.7733319001 21650.5097440631 29169.8374226551
T[34] 654.384404361972 6447.06001088609 13999.9430462138 21745.9689034856 29080.8454817686
T[35] 531.716193706644 6713.16511499743 13933.5407890468 21729.2715995348 28964.2390761153
T[36] 709.72890730424 7254.49291226791 14480.3258444283 22278.2490601509 29174.8675020322
T[37] 663.051745406813 7035.93293476475 14870.7595257719 22554.3247314518 29257.1631712481
T[38] 685.069023037685 6845.39148626974 14235.3465029265 21838.9710773859 29311.8716827522
T[39] 764.471712968716 7344.82904689882 14791.6133282221 22282.1507392875 29142.8935235004
T[40] 578.601102048945 6713.3250684971 13939.6849820918 22012.4201823513 29144.291400317
T[41] 648.208881240837 6790.33760954401 14027.2499799628 22110.3060099432 29249.3664914213
T[42] 638.56536633467 7344.04178437383 14582.271164271 22029.9763185553 29242.6550639776
T[43] 587.976694788055 6855.46091877958 14767.7444881721 22014.5039397287 29130.007287755
T[44] 710.381873331419 7018.96486146245 14299.2501187024 22066.7582196339 29112.3549936593
T[45] 811.983286429382 7141.02542258301 14550.030740106 22467.0651319143 29328.8233571798
T[46] 592.01686391034 7021.33356748387 14302.531394714 22048.8846674671 29173.8319045847
T[47] 641.401480844479 6682.29926483099 14134.2561107907 21830.6536083012 29195.0769867934
T[48] 644.364365583998 6941.70752003363 14001.4255648754 21888.5194736347 29174.5264744984
T[49] 717.78426358893 6741.77208239862 14254.3799975548 22111.9082688944 29159.5095183459
T[50] 652.201956632584 7118.37589149791 15215.2639600149 22636.9454898752 29393.4884700779
T[51] 756.548356793088 7058.46375999429 14578.9174943889 22450.4882370178 29369.6921480283
T[52] 700.631643905473 7411.90950845242 14926.1670421141 22250.9746954489 29161.8681493941
T[53] 601.680758080155 7048.67248196065 14804.0512648446 22329.9274813531 29154.8271516824
T[54] 658.272805266335 6904.14238385834 14222.436859576 21883.7072355008 29121.6760310071
T[55] 582.833787442734 6596.75962990797 14095.5084929303 21790.0805678652 29006.4025395139
T[56] 639.918507109109 6911.24281918221 14699.624143894 22141.5818808043 29161.8835396253
T[57] 514.07973226502 6671.04330798219 13995.4772461744 21562.7059500852 29121.8653815954
T[58] 562.794296997851 6535.14406583323 14525.7559198031 21896.1232682097 29231.4122439441
T[59] 680.706764589626 6998.71929343269 14611.3018945876 21999.1371233529 29192.1951399968
T[60] 692.282799619622 7195.53105858989 14909.9259352885 22368.0608406645 29245.998093248
