2.5% 25% 50% 75% 97.5%
T[1] 258.647085951529 324.571651633637 362.989714477339 406.480867967637 494.375121066951
T[2] 303.228026885005 381.186760862686 424.761339145472 470.99307638815 571.916532527332
T[3] 472.847950929882 621.271482562129 694.941060881315 780.80730490377 1015.52321226387
T[4] 179.316539308992 229.044454149116 257.467291430332 287.884020865864 354.957117081152
T[5] 324.632860087278 415.516964511044 469.371703948209 525.924642420702 652.00780366895
T[6] 196.540488012763 254.123447451165 287.154412819877 320.958000831923 401.013184966641
T[7] 355.98936238111 474.539129701621 539.624077757977 610.822185609232 769.752366316733
T[8] 289.650530466492 370.995808750034 414.778441877016 465.552003408175 578.235806677598
T[9] 167.515931615107 204.116638860759 224.388874235519 244.737118115187 286.271104647481
T[10] 184.315078882653 228.27138106788 253.328082772612 277.549859005451 327.322293228627
T[11] 257.33302528983 320.776416810501 357.700654722124 395.453053097223 481.968033719927
T[12] 233.877629878569 290.861733165937 326.455552406391 366.105664009249 443.036355964324
T[13] 286.984690303759 359.24824656135 401.479568013978 446.886847844784 532.154226283338
T[14] 207.315288306239 266.599407152737 299.583962828198 333.00724481076 399.029706694057
T[15] 217.076058276713 274.088844442993 310.353703765498 350.210666382416 434.585052708951
T[16] 157.620452864273 190.234874730585 209.043212551496 227.772573384487 265.915524714943
T[17] 271.861784250393 350.260632090332 394.036693881344 441.497865490515 537.885403818658
T[18] 129.207343074748 159.988835086471 176.52003644142 193.759615638854 225.569899737009
T[19] 257.940405593376 314.681156100602 345.890061788637 379.187354922114 443.355241913836
T[20] 913.170330524383 1201.13991096428 1559.19481982306 1809.87541975675 2067.21589909641
T[21] 293.506695586555 365.647395773719 409.012103875204 454.567982865434 543.822779417894
T[22] 210.945362883834 270.4229394429 305.837650469388 344.381526518181 422.830896854554
T[23] 269.514800205726 361.699856930156 416.109505338536 474.357698651448 602.869729623248
T[24] 427.415036721424 528.813136884712 623.361527272913 704.173385806308 938.117142127833
T[25] 167.506275865404 219.279069261609 250.927725071334 284.647015351421 361.165919916677
T[26] 302.434659058585 400.098738228749 459.801969518795 519.995582883599 665.9697221786
T[27] 246.268060900485 315.844144711644 356.014655456293 399.919403779332 490.671076995279
T[28] 420.784698971453 555.161314778408 635.668435582891 731.079347801196 941.562337246782
T[29] 249.7586086216 304.999122494687 335.590487997849 366.649487430942 430.994425360701
T[30] 386.471257609251 477.625149875731 530.653595115707 587.698506222743 698.336486669948
T[31] 145.69423018879 179.004540493461 196.4772618029 214.41534188761 249.17044996252
T[32] 182.876237743017 234.565336441557 265.206890843502 299.518794978356 370.938944349043
T[33] 180.097692136869 237.051866073912 268.77495516046 304.80272730998 379.913020387925
T[34] 143.961889969079 181.30247220175 202.965818311117 227.457482796475 277.791667417301
T[35] 324.434688921641 429.267689070041 494.388811455276 562.081198008671 711.411203532623
T[36] 297.642051972343 383.055873135499 432.487682926962 488.395701816232 600.098646785756
T[37] 374.649279581895 475.123656827926 534.551093951098 603.51474370607 769.2086680875
T[38] 324.603247936048 406.17626377325 454.174188158204 502.434920325173 600.630308421102
T[39] 258.607267110922 336.381624359101 381.593122152388 429.540695412005 529.514183370512
T[40] 265.026297803829 329.791429403442 369.40982017337 410.697771296401 497.245634996149
T[41] 308.059018910743 432.013813201654 496.894644836729 566.116952794099 712.03356561649
T[42] 365.372616247994 492.411736378355 561.343583135733 627.109027925076 751.531563964382
T[43] 241.790277201301 298.792256124604 332.143999202431 369.84643569854 444.697876779098
T[44] 215.887278939768 272.932897606738 307.222375243487 341.756682895722 409.439023452902
T[45] 237.088316710129 295.790928914693 329.190020484328 364.770869344998 440.95666116335
T[46] 801.884834788738 1035.98679393798 1361.18286117598 1642.75047309802 2532.50605835768
T[47] 175.197553503632 223.037741729527 250.882281761212 283.641679224352 356.625246574078
T[48] 261.992736681003 326.964361598247 365.196242025822 402.667479855526 478.341851934983
T[49] 200.110854877532 265.975815537136 310.754029589484 365.632055709141 479.03157511838
T[50] 2495.23796970644 2860.14945999359 3083.99459717622 3330.30647426897 4002.75180565758
T[51] 617.154224588688 748.425606234983 863.386633675675 948.523592175228 1126.86725593938
T[52] 488.291486177982 605.00617913297 691.981959497771 792.159162863917 976.920409278368
T[53] 306.866052121165 378.593165718722 421.411659506309 465.103657356681 552.69184433104
T[54] 241.140020157709 316.166888597577 364.675645521829 426.526217697205 537.943302568436
T[55] 261.378873067135 331.101038882212 372.695667485604 420.715076465269 521.587260018843
T[56] 283.928978796317 347.051187915138 381.138923600429 416.405133526251 488.524869941484
T[57] 538.002354435327 758.048416429378 989.900908026938 1148.70855188197 1453.55725843288
T[58] 245.975690874075 337.207038683668 402.160844886989 470.511158580075 617.896504410226
T[59] 115.018238031978 153.539348927821 174.288282746649 195.88517427032 245.374251273967
T[60] 259.996739557391 328.525452914767 366.658812119649 407.870524748548 492.735867056804
T[61] 145.921844315794 196.375659131605 222.766018731257 252.736249044091 313.688850409579
T[62] 301.285377535064 403.884130160173 491.137825990293 576.095441194593 726.647238487715
T[63] 75.5342096556228 94.5970492177879 105.707327526465 117.906149719556 143.328706491366
T[64] 221.497508823975 304.577551320887 358.006291550454 412.631812122905 541.440140322691
T[65] 3506.53371162592 5017.20041204894 5509.02397848214 7785.98574675501 10127.8960963823
T[66] 128.937930487829 168.234399375591 189.338329017487 210.876259423897 254.908003474858
T[67] 320.261190678864 414.210966676195 469.430812085609 531.934384101208 658.416485043534
T[68] 184.460193929603 238.111654981995 271.614475879954 308.426651640345 385.971637329598
T[69] 145.051931076898 185.192084062742 210.539516095492 236.272585533256 291.417019484411
T[70] 303.943866407809 374.551572393185 413.777053665917 459.909420816772 551.992487620441
T[71] 221.409075672173 271.139726600837 303.771092518317 335.771005866497 402.904323361044
T[72] 1204.97970706041 1419.45144041164 1880.00622617988 2109.11371888148 2435.2862703684
T[73] 115.286309059186 167.74769761143 197.13306378214 229.03419056579 308.733307438952
T[74] 284.526117227968 355.995781323223 393.990108406128 436.326248741461 519.926951994131
T[75] 278.600348147432 359.150403121935 407.481280982175 459.424363866563 571.396356567982
T[76] 226.566866150142 283.492640088249 314.701148468931 347.618304722211 418.34650164099
T[77] 156.313445889295 194.966173297762 216.771174632334 240.898728533948 284.124653781966
T[78] 333.756413794092 424.144586810576 484.212847659949 547.401450660184 665.918649490425
T[79] 208.339890850426 263.005539966299 294.750056558266 329.169115031369 399.404669399878
T[80] 225.823692297736 281.768824685613 311.678424429468 344.356583140912 409.685574503044
T[81] 249.165472046776 331.035074609536 380.514097699498 435.097239573644 551.976055559465
T[82] 190.793976914474 243.345779639184 272.641315174411 304.859107218324 367.328319069429
T[83] 238.452858594422 297.938332977182 334.485145520437 374.096452803876 450.137301218615
T[84] 251.286540458922 323.598017676209 368.211558226089 414.234140418886 511.664877876248
T[85] 579.838225104085 714.383654445391 789.97543046811 869.089725522579 1028.87447627592
T[86] 172.169101514024 218.40664372303 242.95992340161 268.949988382968 319.662004344621
T[87] 4083.8348937355 5088.97879555341 6208.98565224588 7977.20154493683 11782.9350676778
T[88] 284.262654494481 350.175960167143 387.95792875063 427.214733425394 504.862331322973
T[89] 307.675121264834 388.065997038203 438.648535733441 494.626140023814 608.445478248484
T[90] 2302.85965159365 3785.73178878227 5780.59319024688 7329.6836198033 10580.2414920728
T[91] 553.051903088983 813.138294136608 933.043065186184 1039.83182009274 1234.27261701276
T[92] 232.405076765278 283.298691168283 312.44342150386 340.35149103896 398.010770534895
T[93] 343.927309030546 439.20941935384 495.843117520158 556.64685621582 682.090143497297
T[94] 226.217402692651 288.747619444973 325.321616104732 363.942476156663 438.551178543024
T[95] 444.441936057788 557.03906035051 650.828947365427 805.498152832659 1018.12181541693
T[96] 672.916231664805 870.681648978736 956.081279086386 1038.40498156663 1196.61906831273
T[97] 140.393540689065 182.613027664684 205.847859718493 230.334836521013 281.179575607517
T[98] 163.014575111802 201.474291273223 222.23056560545 243.715424096232 285.591763194489
T[99] 241.939823216805 299.732258378682 331.737910188007 368.135103165404 439.576657524534
T[100] 261.386164095447 329.204402037386 365.859562667403 403.47734154483 483.959312638145
T[101] 216.431385391873 272.119412422479 303.801166304006 339.375500554731 408.974418486126
T[102] 274.877707212865 335.449308080882 369.694400492977 407.703433778132 482.380238041625
lambda 9893.60073575652 9958.23189848765 9978.76540097882 9991.45977453853 9999.36722356669
loglik[1,1,1] -9.12244076218297 -7.69434508566303 -7.38804476974443 -7.20295353042571 -6.95527934994762
loglik[2,1,1] -9.78490933971931 -8.38515422878504 -8.06369817087351 -7.87494792572682 -7.60410357325001
loglik[3,1,1] -10.4773588902437 -7.89552099573311 -6.95108225530241 -6.24489579095761 -5.60007738275748
loglik[4,1,1] -8.52438668651133 -7.53309878838833 -7.30238077617212 -7.14097161313038 -6.87751739563548
loglik[5,1,1] -8.02214065383055 -6.59896715534137 -6.29324814076201 -6.09093100746805 -5.82367471921569
loglik[6,1,1] -8.92215159595334 -7.75459101219156 -7.4844930528675 -7.31728773741779 -7.04949244911389
loglik[7,1,1] -9.22740799914547 -7.66266770410819 -7.30317724729931 -7.09042898744722 -6.79727747703084
loglik[8,1,1] -9.10282659461714 -7.67201128982765 -7.37767370236689 -7.18790985854861 -6.91964431063713
loglik[9,1,1] -9.23269592599761 -8.24590535505939 -8.03528100839826 -7.89075067380176 -7.67931658505376
loglik[10,1,1] -8.99501193582527 -8.00136154936187 -7.78478628953826 -7.62938492722471 -7.41908155021594
loglik[11,1,1] -8.59423488124109 -7.58450922403283 -7.31574003095355 -7.1525163205055 -6.90638804354943
loglik[12,1,1] -8.61156564375167 -7.71489700479377 -7.51704770216247 -7.36037860160081 -7.11617110579614
loglik[13,1,1] -9.27749180318332 -7.94055023040795 -7.65059328814587 -7.46779706962822 -7.23401059418617
loglik[14,1,1] -11.8121270080287 -9.86101620968167 -9.26196675096117 -8.89992618927065 -8.55450318348818
loglik[15,1,1] -8.94751473039688 -7.49572121675664 -7.15872204674193 -6.95230478486293 -6.66689579796901
loglik[16,1,1] -9.45209308825832 -8.37188839375391 -8.11452949410767 -7.95844363440492 -7.75098595471351
loglik[17,1,1] -9.48744465215696 -7.96836244854165 -7.57981358867989 -7.35200343355848 -7.06584814934322
loglik[18,1,1] -11.7288850165384 -10.1306957993911 -9.53485215350108 -9.12824918406835 -8.68649875144461
loglik[19,1,1] -8.7568228654786 -7.83444503312531 -7.59860447772387 -7.44479065547078 -7.23316382283677
loglik[20,1,1] -9.33627027622759 -7.5284237470015 -7.14915203308358 -6.81664833808547 -6.5515614934433
loglik[21,1,1] -8.40340073670433 -7.40252037167817 -7.15969461827018 -6.99430472538364 -6.74996005244496
loglik[22,1,1] -10.4412876955048 -8.63156678182692 -8.14046399486378 -7.89323172932685 -7.59013042804835
loglik[23,1,1] -9.59037406575917 -7.92409252358818 -7.54433970913385 -7.31451462751498 -6.99826106110734
loglik[24,1,1] -9.3037273575292 -7.75361582242826 -7.41325059648179 -7.18838166601891 -6.85255899137785
loglik[25,1,1] -9.35937168063539 -7.96673351522794 -7.56182387660388 -7.31372245908989 -7.01216791954214
loglik[26,1,1] -9.20897726250143 -7.77381629908622 -7.40016631434174 -7.17190532906536 -6.85636027493467
loglik[27,1,1] -9.17594471983337 -7.7299752936608 -7.38661187051128 -7.19088346715422 -6.90868911644893
loglik[28,1,1] -10.0455608479018 -8.14610283951991 -7.7159103805102 -7.47581202267848 -7.15977920882181
loglik[29,1,1] -9.42201892625824 -8.10954495298758 -7.74549667410298 -7.55548912846798 -7.32131911963817
loglik[30,1,1] -8.64256985876948 -7.33189159088455 -6.99964924756756 -6.81516921685759 -6.56822276234807
loglik[31,1,1] -11.2622062520184 -9.66566122410743 -9.0587264523125 -8.66132936985865 -8.29043770025069
loglik[32,1,1] -10.3809759090084 -8.84760934716428 -8.3472957209813 -8.04186196537921 -7.68805238313591
loglik[33,1,1] -8.51192465541055 -7.44727044967425 -7.17105293745795 -6.98648305813503 -6.70675360735871
loglik[34,1,1] -11.0259268150129 -9.33053852482605 -8.70325111294347 -8.27787624400771 -7.8378425031054
loglik[35,1,1] -7.5951549529166 -6.51904061372927 -6.22872901082926 -6.03049582885048 -5.71775064992434
loglik[36,1,1] -8.63804495612854 -7.56095148028186 -7.29625072223519 -7.12184429793246 -6.85151782138816
loglik[37,1,1] -10.4851363105047 -8.57355229035952 -8.14058496723874 -7.92274608032036 -7.60758170815529
loglik[38,1,1] -9.80650178001006 -8.26784623210734 -7.84568065011121 -7.60280366867489 -7.31696454978618
loglik[39,1,1] -10.4698845022562 -8.70390201119902 -8.20324438447884 -7.9518350510769 -7.65731440178285
loglik[40,1,1] -10.0253897845977 -8.35426143156671 -7.92671618743853 -7.70506595146293 -7.43255667875514
loglik[41,1,1] -10.9714814405864 -8.8401098382327 -8.24195647440628 -7.9332226714118 -7.59075114739645
loglik[42,1,1] -9.66190713551031 -8.061468004899 -7.68515682923191 -7.46009249646386 -7.18574327345865
loglik[43,1,1] -9.51612387157782 -8.32142244201039 -8.03206928131822 -7.86116814099915 -7.61182584420889
loglik[44,1,1] -11.5787640517184 -9.63888278839506 -9.0090783330476 -8.65511272884209 -8.33611677802217
loglik[45,1,1] -11.8750488108515 -9.75660259663379 -9.0953529725876 -8.72647629385513 -8.39715578473045
loglik[46,1,1] -9.78885094646803 -7.78441567163553 -7.34786852526573 -6.98549891505951 -6.45862254428802
loglik[47,1,1] -8.71340575215537 -7.90530987692045 -7.70362236513668 -7.54198083322318 -7.27086325109524
loglik[48,1,1] -9.59119036327799 -8.46090564516909 -8.21026014674789 -8.03753626100557 -7.82301937527742
loglik[49,1,1] -9.70697518359404 -7.7249322830422 -6.94486324128614 -6.42201438739024 -5.84187989081398
loglik[50,1,1] -11.1777946690253 -7.99175551949775 -6.94790297683717 -6.23550673116112 -5.74255821269709
loglik[51,1,1] -9.16027319057793 -7.79446008819922 -7.48431340622723 -7.29147263862639 -7.05961081558137
loglik[52,1,1] -10.4548126534319 -8.45319302977796 -7.97246853076862 -7.73153078656173 -7.42122462757011
loglik[53,1,1] -10.2152391963426 -8.41768645365168 -7.97456239741169 -7.75096693777803 -7.49905176343572
loglik[54,1,1] -8.81226431304952 -7.26376840796437 -6.72648310542025 -6.4173930188482 -6.0241580566405
loglik[55,1,1] -8.94421400300812 -7.65874994832832 -7.34864290942148 -7.1675426608637 -6.88632735577372
loglik[56,1,1] -8.83626515412001 -7.85448417087193 -7.62544743482268 -7.48227829561784 -7.27555597136676
loglik[57,1,1] -8.46628367894425 -6.54409913061989 -6.12963172302761 -5.76788072506569 -5.42057308677907
loglik[58,1,1] -8.37731587781397 -6.8324005678006 -6.45785531014584 -6.21420333179664 -5.85543200118224
loglik[59,1,1] -8.52783492352137 -7.76508311160898 -7.56096722489294 -7.39160983989175 -7.12418436909723
loglik[60,1,1] -9.52280192530476 -8.29441298742607 -8.00006855817018 -7.81727576307753 -7.56971038659287
loglik[61,1,1] -8.31942629297046 -7.43752811449182 -7.19075365182288 -7.01614749077363 -6.7623987826726
loglik[62,1,1] -8.1234073590615 -6.70914443470523 -6.36740621697632 -6.11337825922714 -5.7949557780789
loglik[63,1,1] -8.21622425648613 -7.3699673535021 -7.11599294855521 -6.92802999488068 -6.65058342829428
loglik[64,1,1] -10.5812363322121 -8.06750113592297 -7.19085321615954 -6.51972097842167 -5.80955722703133
loglik[65,1,1] -7.30176642916706 -5.56292811366206 -5.1540423466732 -4.92476862428847 -4.42870179480349
loglik[66,1,1] -8.21685644348299 -7.59087837513293 -7.40780404878136 -7.25773841257513 -7.04197613042957
loglik[67,1,1] -8.28909379424773 -7.41268593824103 -7.17805997507325 -7.00339295785113 -6.73988522422275
loglik[68,1,1] -7.91802091056682 -7.07258953630631 -6.84542901532109 -6.67089196475386 -6.39825820746148
loglik[69,1,1] -8.20672455087985 -7.35543908574678 -7.13866214117013 -6.97026144240291 -6.71934786578062
loglik[70,1,1] -8.10119048447349 -7.04823899327185 -6.78445185686945 -6.62556606544219 -6.38677043891601
loglik[71,1,1] -8.37577951851666 -7.4434340657746 -7.18641971635229 -7.01851163277659 -6.79117416307501
loglik[72,1,1] -9.2621263471945 -7.27260993803586 -6.79872995157458 -6.4932285517585 -6.19812145199378
loglik[73,1,1] -9.5696640698284 -8.56150697030634 -8.25145896553252 -8.0331696575923 -7.67384997461167
loglik[74,1,1] -9.64805647990212 -8.22908327294268 -7.87035951229757 -7.68588737061735 -7.4478586854265
loglik[75,1,1] -8.62226284040971 -7.63804586405473 -7.38731654007896 -7.20321547653827 -6.94166418752232
loglik[76,1,1] -8.58715426968921 -7.4883060213165 -7.21619110324216 -7.0515744478789 -6.81654832703426
loglik[77,1,1] -7.91588989192809 -7.22216224852111 -7.02080534187381 -6.87544697445016 -6.66213920615771
loglik[78,1,1] -9.65164902743889 -7.72382575202951 -7.2563361515677 -7.01366675307506 -6.70837328665166
loglik[79,1,1] -8.77654189177017 -7.63259627698213 -7.34453419189033 -7.16459041693889 -6.90271151657435
loglik[80,1,1] -7.76351722231459 -6.71521860261358 -6.47068146315758 -6.30369603376958 -6.07483047205872
loglik[81,1,1] -8.40280120369711 -6.76454693233455 -6.25510962126935 -5.94404007248146 -5.60830699856851
loglik[82,1,1] -8.53399428410462 -7.39453330744422 -7.14264449016212 -6.97058382443791 -6.72590658341934
loglik[83,1,1] -8.43292151005959 -7.18356986713187 -6.92069609818868 -6.74624888563804 -6.50372440908194
loglik[84,1,1] -8.39759027467517 -6.79491695367325 -6.27639218235047 -5.97236278892708 -5.66711446576235
loglik[85,1,1] -10.3409009423568 -8.25242033238971 -7.64949840949014 -7.32451843469551 -7.05146335608643
loglik[86,1,1] -9.16060019773137 -8.07244755614212 -7.82480875496062 -7.65874678058577 -7.43269128387904
loglik[87,1,1] -7.30975089129717 -5.48522224425217 -5.12162657963142 -4.8243391337464 -4.32950835897191
loglik[88,1,1] -8.8547667280276 -7.69719908204093 -7.40510743534323 -7.24312656140508 -7.03231978644375
loglik[89,1,1] -10.4957152675691 -8.59600769179184 -8.16835772132999 -7.93530846995571 -7.64162014103473
loglik[90,1,1] -7.95404823393249 -6.12550465307736 -5.58459574347367 -5.1504703265224 -4.64913986980806
loglik[91,1,1] -9.8847285654625 -8.13540406697881 -7.71582894230291 -7.48464592581486 -7.21964244478638
loglik[92,1,1] -9.47369213856936 -8.26897547512866 -7.95869475914445 -7.7855037952842 -7.55291109175017
loglik[93,1,1] -8.4958618942061 -7.27506846026327 -6.95363981800014 -6.76472707384197 -6.50608753519499
loglik[94,1,1] -11.2173247968051 -9.41003420200571 -8.83195226268541 -8.52622368501204 -8.20918654794721
loglik[95,1,1] -8.70542764938729 -7.50742188522354 -7.23962584900351 -7.02288142793666 -6.66203710503741
loglik[96,1,1] -9.362424323272 -7.56020709778493 -7.15273269158706 -6.94802253031525 -6.73836458925572
loglik[97,1,1] -9.38248112392668 -8.61657886704466 -8.43117835975298 -8.27797303706061 -8.04844476211215
loglik[98,1,1] -11.8561292819272 -10.1846538977593 -9.59461226655601 -9.20184509685381 -8.84513942473468
loglik[99,1,1] -11.0037532822597 -9.22641543749251 -8.74328516362048 -8.48895602500078 -8.21756768079282
loglik[100,1,1] -9.55532864679918 -8.28200398108589 -7.98226110125431 -7.79691257865216 -7.55997920939736
loglik[101,1,1] -12.2946924785975 -10.1035400156478 -9.34061897522755 -8.87011055959182 -8.47378820123407
loglik[102,1,1] -8.75862061025747 -7.82092006920121 -7.58842628498283 -7.43551532688184 -7.21405345401914
loglik[1,2,1] -10.7525516771557 -8.42738458010311 -7.7035734676812 -7.28825136751899 -6.94409193245899
loglik[2,2,1] -9.05009794021963 -7.61358695554427 -7.2813483207555 -7.08474059336961 -6.82635183675408
