2.5% 25% 50% 75% 97.5%
T[1] 1308.29975444168 1496.83446610064 1597.31009936349 1703.38453179434 1921.52830108942
T[2] 1923.7648418066 2180.41471648618 2318.18748693527 2451.10425103567 2738.88340281573
T[3] 919.272036321363 1095.26999667305 1184.89032509253 1277.8787723987 1458.9410803165
T[4] 589.181110272905 708.561643286551 772.929161692864 840.3733013642 963.512685558114
T[5] 606.149712905594 719.97710539884 782.241882129559 846.237131226813 973.188864528651
T[6] 1035.46915516577 1202.6561317489 1303.04460298019 1401.5805676889 1594.27503356522
T[7] 1475.07665349187 1685.81088254325 1803.87699778324 1927.1000722292 2177.05201768946
T[8] 1209.59045336694 1379.15190929933 1480.710774626 1575.37747003509 1765.24886097416
T[9] 1025.10067620421 1186.81582256013 1275.07486084123 1361.71755962776 1532.93759215147
T[10] 971.439670755376 1141.78240792552 1229.2228259196 1323.48762579168 1501.44440470785
T[11] 1233.81978085521 1424.96000231907 1531.52379485211 1640.4093707817 1856.38374114745
T[12] 870.811236632701 1013.09108413176 1091.37830076914 1168.5745778829 1318.16546273343
T[13] 1216.99155517794 1393.09992979881 1486.86535518584 1585.80635472523 1770.64877331224
T[14] 2113.10525717848 2364.87639020175 2499.8302286808 2641.54844634895 2919.49379541746
T[15] 580.884357103266 714.423970092071 784.288705166766 857.987056977832 1003.29694046538
T[16] 715.620991015053 849.456315425082 927.986657553619 1002.11599304148 1150.71739173348
T[17] 1082.6223805162 1241.93035819178 1329.89637978619 1421.05415468251 1594.50415977162
T[18] 894.239044103474 1047.78333553947 1128.96428912198 1213.28277811676 1374.73265264892
T[19] 1279.85821403804 1450.01448488611 1550.04925911992 1652.92829506224 1861.46741262829
T[20] 2009.77183151385 2270.07205684915 2406.80136720791 2549.95625643634 2843.95249408681
T[21] 1018.67692417967 1183.03963174679 1269.57913005641 1361.71970153515 1533.09147109872
T[22] 956.478186539096 1110.8931131801 1199.52856512864 1281.37214388743 1456.68202393386
T[23] 713.275862135814 845.293813220269 920.230903768898 1000.05492416201 1155.14615031261
T[24] 1187.24316842007 1379.57853639319 1485.7559737504 1594.39679757293 1813.0433403005
T[25] 496.582294279211 630.029095116508 699.892186751688 768.921814076466 911.549083097535
T[26] 917.619125930157 1080.00287547549 1165.32655993753 1250.03123263419 1439.66114716764
T[27] 679.464493343952 819.17838519461 895.182673387872 970.07921064994 1112.69965658088
T[28] 1518.35331412354 1719.98385430936 1837.56592409176 1950.45376802308 2171.01601362157
T[29] 976.916127732545 1119.79932305544 1199.59036150205 1276.30105359809 1434.45522190952
T[30] 1156.85324920998 1326.10590147309 1416.65183447053 1507.65698705962 1686.16622753501
T[31] 701.200220718752 820.406058073966 885.370197413422 950.86148219983 1086.20087895214
T[32] 909.496908910464 1051.13645774005 1130.22309087937 1210.25979772173 1369.95029673401
T[33] 879.234305547404 1047.85064395565 1133.57144420509 1221.02201591007 1399.8786930767
T[34] 422.811823774405 524.677304557148 577.619817756782 635.814996533503 743.994221562489
T[35] 557.530731601875 690.173123867349 756.053467559992 824.025350563427 966.388808935449
T[36] 1355.03239349974 1534.85379022575 1634.92584882329 1737.29879188256 1941.92739063365
T[37] 2182.28208903915 2448.63311289449 2595.16963119761 2746.29220799432 3020.51791922818
T[38] 1504.93889882688 1699.79974031716 1810.7775283523 1916.07657448928 2122.56773759939
T[39] 1763.72159908427 1991.23342130259 2113.06991290324 2235.16493754278 2470.86494995328
T[40] 1089.19719030425 1242.1421069973 1330.65768921731 1415.99429729192 1592.7912710338
T[41] 1563.34563485546 1755.56168455984 1862.55922527414 1982.19408877196 2207.01482802941
T[42] 1562.54395834537 1764.90673083278 1877.2706063453 1990.07635393312 2210.09996130649
T[43] 1466.33305614281 1662.90366011705 1767.12046160484 1877.4196531967 2096.4982854464
T[44] 1641.63284919406 1846.1023470431 1953.05573936527 2072.13645477011 2311.60196660497
T[45] 2127.49601090184 2383.4354586039 2520.10116276768 2661.03268603442 2951.78782807981
T[46] 2290.79504507279 2555.77267212884 2698.13903017927 2844.74835639947 3120.41216134771
T[47] 1018.00769362624 1190.42619750377 1274.70684573582 1363.37408792817 1546.91140660511
T[48] 2071.46754136573 2323.19343337679 2456.28812032816 2591.13619886694 2867.79115815055
T[49] 686.166718422569 820.884530655702 896.251259497782 974.195251661264 1135.39626195854
T[50] 2151.53468387778 2394.22593597604 2527.34169698747 2667.68306419878 2946.20071440974
T[51] 3246.04907618159 3588.83709104668 3768.82426249112 3949.09463334427 4353.78446428105
T[52] 3018.6680636469 3349.49920268776 3532.2828031566 3718.531952807 4093.32340647623
T[53] 1969.11433567902 2208.49513692684 2342.978331784 2476.08884862597 2737.6940105355
T[54] 720.43144750243 872.417442048842 953.610687080173 1039.4270274535 1204.34662483038
T[55] 763.748346535033 922.324109393546 1002.59413568421 1081.45340204585 1238.47453578324
T[56] 1740.579707432 1953.97584793587 2063.94526561253 2179.2382886885 2416.0684551687
T[57] 896.512763140895 1077.92827774385 1171.9913207395 1267.94443477217 1460.91724994778
T[58] 914.421940902426 1076.80613071035 1162.95359857915 1252.74662541434 1423.28048795552
