2.5% 25% 50% 75% 97.5%
T[1] 1292.31662310329 1486.48709497011 1587.36338575857 1684.18708696017 1888.4454029544
T[2] 1912.009329497 2161.19663189613 2291.78772420248 2424.32302131268 2689.57766389127
T[3] 890.072680835873 1053.8054785072 1142.13822327972 1228.33719089326 1404.29536726258
T[4] 577.548296985901 701.198143521236 763.783583361776 829.069279768962 955.892420931753
T[5] 611.441595485358 721.134000625152 781.493392901551 842.507123605683 971.112602369054
T[6] 1022.58522322513 1197.14691104405 1292.6224114496 1391.84231695049 1584.72667098291
T[7] 1433.69266568024 1641.58206003474 1756.94508639343 1868.66706978441 2098.02761783814
T[8] 1189.15015641894 1368.42154996629 1467.36769507627 1569.99672650495 1765.77526705449
T[9] 1029.90931508775 1197.06818400625 1279.77463395001 1367.58993166964 1540.17573076987
T[10] 993.755967284823 1146.49551026559 1241.34713208977 1331.64561228045 1508.15604059873
T[11] 1197.99274870566 1385.22472462917 1480.64585815876 1582.50927765698 1778.07708702308
T[12] 864.971797555856 996.983956161543 1073.01456131739 1149.74793410115 1302.4984439092
T[13] 1198.99741092108 1372.84895469692 1467.45093943383 1563.06283409176 1748.06769141663
T[14] 2172.72447789638 2402.45990793209 2538.22880815686 2673.46660100335 2947.66517774509
T[15] 562.91617569915 689.344682966311 759.198569473311 824.223579343457 967.783343475321
T[16] 709.013373145997 842.603484477557 916.793096728416 988.434115800941 1128.07790573628
T[17] 1096.34093493125 1256.45689905258 1347.16311054802 1435.51255836368 1620.98433603745
T[18] 892.117159335461 1044.36236623496 1124.41323544638 1207.08683843256 1368.66079899516
T[19] 1271.5075503963 1450.93739276212 1541.28026829597 1642.71699257771 1842.59241967189
T[20] 1994.75096539202 2242.0867119427 2380.292229535 2521.38567412601 2799.07825240796
T[21] 1017.56783856664 1174.93283596775 1258.88880595844 1348.44208070785 1530.59659101575
T[22] 935.158082828497 1087.60474284185 1176.24012195576 1263.85688462915 1428.83628042009
T[23] 698.165746591699 837.786632501801 910.015166654469 988.53955418901 1136.4514864496
T[24] 1163.50254349211 1346.14749145916 1453.9389333879 1565.12154679995 1781.94897423072
T[25] 484.169619788033 620.464288459698 690.424904957543 763.338778844866 895.653913119662
T[26] 891.791331388643 1054.65119984042 1143.43677027979 1230.75001176767 1410.63108426476
T[27] 680.313368500787 815.100212321952 886.343104454459 960.249199587007 1110.37143428243
T[28] 1513.87214729553 1708.68000000483 1816.33833557294 1922.46667095808 2144.35114130958
T[29] 983.830004973958 1127.54402751602 1201.40798763231 1278.81247752639 1444.57395249183
T[30] 1161.9197781413 1322.02708298336 1413.97875012482 1508.72883266275 1702.83355521621
T[31] 696.390844912149 826.631100997067 892.189711831687 960.326322714042 1090.15933602323
T[32] 927.196072024706 1074.13610914043 1154.45577868108 1230.03785300742 1393.97247699027
T[33] 872.251505795306 1021.39001873857 1105.77960626836 1193.67156394748 1369.09907111243
T[34] 414.215930890998 518.453642460734 573.684178890505 632.25453388983 744.408434726781
T[35] 547.526980350677 671.582940676013 733.614451935456 803.653641891871 935.331251707814
T[36] 1354.39423694072 1539.31846154605 1642.34858404947 1746.33024490435 1948.13113183949
T[37] 2161.61387422868 2418.02521619678 2559.11687830966 2701.29357965824 2987.91962249138
T[38] 1522.579849221 1712.13137462883 1814.63349037648 1918.58546201379 2138.99898735868
T[39] 1770.74910594907 2002.39891283371 2119.64786647329 2246.8026864802 2496.96508144978
T[40] 1095.53640364448 1254.15323028806 1338.72635098386 1425.15653284262 1596.47144911523
T[41] 1558.10074645529 1751.18890091262 1859.76694226039 1966.74680164434 2191.22416502674
T[42] 1555.65766111315 1761.92573398566 1875.20936111386 1990.81170689545 2230.29776788127
T[43] 1491.71811449138 1678.26842935031 1787.53828158415 1892.12229066631 2100.5578992825
T[44] 1628.22473636852 1849.62810165077 1960.48848925243 2080.16596204012 2292.31983372515
T[45] 2191.91669158204 2442.11753948923 2581.89635899603 2716.50471972875 3010.88000087945
T[46] 2341.24577037464 2583.6246484045 2721.32522189938 2868.73658599703 3148.5504094784
T[47] 1011.45539587282 1172.76506237584 1252.77841445113 1340.33440072968 1520.88651353214
T[48] 2080.38916813701 2317.91951245934 2454.87939384801 2591.07102716741 2865.29311144977
T[49] 640.420505368537 779.760276460381 851.045938899602 925.492629470025 1079.11990990946
T[50] 2164.78723394362 2413.92581393981 2545.17129495423 2695.37333734094 2972.26368496314
T[51] 3211.98413537422 3556.16017400969 3739.6932031957 3920.44303100051 4281.60438874212
T[52] 3009.52750008533 3314.89378957291 3488.49810400056 3669.60901483608 4010.06072765212
T[53] 1941.00481720952 2189.25696292251 2309.41776657091 2442.40198523542 2693.22050767545
T[54] 679.255885375317 825.306792771974 909.540189987417 986.038635050872 1142.19539485898
T[55] 758.611588445146 902.811096706895 981.149384233069 1059.2826287458 1213.32502609205
T[56] 1752.20845688923 1959.94381089941 2076.85097258703 2190.95064554215 2417.97495996054
T[57] 858.532224627001 1034.76909411038 1123.72010844379 1223.06524203691 1404.35146984288
T[58] 867.517581217539 1038.11782318728 1122.13339615876 1206.91360907437 1376.48417336867
T[59] 602.780828801582 749.198402128378 826.497607182584 897.326812581762 1053.25679544489
T[60] 1928.26135374302 2160.74118869244 2289.30219495064 2416.62766578234 2669.4327930128
T[61] 929.686753105639 1101.97141538935 1195.79149023378 1293.01867636349 1479.23663453505
T[62] 828.398865935353 978.280638014437 1059.26187296851 1139.65670221206 1298.48172416621
T[63] 119.493098742429 205.346609469955 279.443606493234 351.255244605468 471.49030903886
T[64] 605.999306168461 743.637292237355 823.163133147187 903.889550269565 1043.05599163274
T[65] 1450.21606327324 1649.47315913002 1759.50349588701 1870.16282418052 2089.64781556864
T[66] 647.670811116387 786.595273110635 857.790549262189 933.720547829842 1071.5659731055
T[67] 1124.03208917919 1289.67038149173 1377.82372372081 1469.07598797042 1659.46614744718
T[68] 828.433758096882 982.856727861284 1063.83682624618 1147.18694305066 1317.99979537859
T[69] 613.410948971209 752.545860431239 828.755719858713 902.739585726785 1043.19698374867
T[70] 766.462486945281 904.592627900397 974.338762591104 1050.21495099662 1214.28546053862
T[71] 557.8028233157 667.957902390187 724.435822957333 785.600170417539 909.122743177539
T[72] 2004.84167269887 2230.66789673703 2353.37484958564 2480.41949122069 2710.19577033221
T[73] 1026.14071352258 1208.20734461186 1299.61464895292 1400.37768080795 1591.82675928716
T[74] 1371.87325808091 1563.5936159041 1659.69426886244 1766.11794805481 1973.82433605707
T[75] 1037.83403250304 1193.09020520913 1278.30678278941 1366.8168858469 1536.66546356573
T[76] 695.726794393845 828.249689712421 896.43268496229 966.223888946006 1121.41236673976
T[77] 694.212223730023 821.663479552792 899.075505420544 969.164066725435 1112.66754384989
T[78] 692.970675476844 814.605568299462 883.946830250828 954.206884948125 1084.90312910373
T[79] 640.159750513162 771.604712149009 837.728909689674 905.921248585812 1044.82161214057
T[80] 361.67860968396 443.56677602108 486.1443813627 531.635031273634 622.948416767995
T[81] 510.096607040469 631.305837692114 696.209152014224 761.651088741868 885.970326290703
T[82] 507.769975808217 629.658865042205 694.319718607677 755.010160146581 879.351511612612
T[83] 619.93960621527 748.785044670944 815.325035313291 881.078621322179 1011.60022753345
T[84] 509.205419955997 626.176064436548 685.250412164628 750.029294748237 872.625562033561
T[85] 2822.26847128421 3123.10029155844 3284.41075121836 3456.08152917251 3780.46853876001
T[86] 1763.66424452349 1980.28346686266 2103.43136908505 2229.08053484261 2490.86303467288
T[87] 1709.43118088521 1928.60837222112 2045.4018454643 2172.26913158808 2433.62651383077
T[88] 1770.70474804195 1992.31619244383 2109.79316217505 2233.06889687339 2475.12959390513
T[89] 1736.39300993726 1959.55386781474 2079.36410683198 2201.19989650589 2453.38808588437
T[90] 1861.84158203707 2094.29855307023 2224.364396862 2359.39170406573 2602.60773997312
T[91] 2509.96761726803 2796.67656853548 2957.90249569103 3115.01412722393 3433.69797200972
T[92] 1702.14929569862 1929.09610572823 2044.55706664153 2163.61741108699 2404.86929916303
T[93] 1276.67267148578 1456.77931119147 1554.25603292522 1653.64932021165 1852.47880249544
T[94] 1650.75481374289 1864.35872204858 1976.82941884653 2095.26920745991 2339.38014746484
