2.5% 25% 50% 75% 97.5%
T[1] 183.575641563499 273.771718169957 328.239852577643 381.249343686942 545.330100753809
T[2] 546.425301171461 837.553739734991 968.84682814641 1121.12507786798 1377.61875080259
T[3] 234.220026311336 312.680660950378 361.300108954981 415.53838098375 546.048570163436
T[4] 347.327911902244 489.695013044534 580.699325210962 651.549772521898 839.66784974561
T[5] 458.272658945552 585.266069446145 679.249484086774 761.347375769377 906.273059788249
T[6] 235.194676973733 331.298030180385 388.994786694071 462.814399820246 618.785696511964
T[7] 222.944314054249 305.41282990388 372.105018694873 441.197129071099 614.971462877182
T[8] 262.03885189099 363.523377244433 419.349368071285 490.142455338216 637.980424451253
T[9] 316.052495435268 426.671690514192 497.141564009637 573.02340324694 735.817153434791
T[10] 308.162595116641 414.577122599943 495.39821780381 584.396810630231 743.200328402028
T[11] 325.093594524899 447.04747103795 526.466746338118 606.519198403463 779.58465205119
T[12] 411.817302622522 589.404123866749 686.789885326532 795.466507942209 979.047048906747
T[13] 257.498480934387 353.780929643308 417.923844708492 488.736481081935 629.389587755182
T[14] 91.1458779671178 138.859405882354 185.874088927557 284.066398646334 907.562969511561
T[15] 278.996974754264 356.011629982072 409.431545124205 464.205400964303 584.326546541356
T[16] 259.739302418795 341.586035469851 393.592456264536 446.863295995139 561.458886646938
T[17] 396.99105809226 572.501444026366 664.884554476239 787.498205003649 1017.58480198288
T[18] 310.385653946401 489.572862675915 589.256007613249 671.984211386998 891.940628811657
T[19] 370.735772125783 515.57201113616 598.062364871967 689.550937288759 861.024928004736
T[20] 225.985943670211 424.24115479226 562.370487191138 702.056626577213 988.546873854848
T[21] 313.770509744792 423.931588358503 493.602992594141 570.372971276948 726.323764882335
T[22] 307.675009014494 433.409399557506 491.081424719939 587.134604559912 751.705199539691
T[23] 321.199606784889 424.211611798436 492.998954644745 560.23464065492 712.886351568273
T[24] 255.945995219962 355.280373901106 418.105446601575 488.699180095994 633.529793959399
T[25] 295.218293406053 391.184721956562 457.29433016574 522.259678302723 662.579051331688
T[26] 294.374336819044 399.776785343236 462.007669275039 534.587830848131 692.874248681319
T[27] 281.625498217652 348.373685144559 397.410907372953 454.768532922343 572.134886485423
T[28] 322.913434358135 508.643175180698 624.13643296019 740.103896325268 966.267969403536
T[29] 501.826169877041 683.953463192033 787.379999875428 903.038881588722 1122.12437953604
T[30] 488.547700707136 667.731667895766 758.096286121267 850.640733538831 1057.66844044311
T[31] 369.249177884417 503.749167920538 577.137301685763 660.579360049167 836.081281810041
T[32] 313.403665356033 470.202543785142 560.593015989397 671.923502649339 892.589466792978
T[33] 227.110661675041 303.77668363959 346.305302593115 398.409155116496 497.133539930517
T[34] 364.888955183833 476.946641263371 536.19912737554 599.089114544467 746.221639171728
T[35] 335.979852706403 436.289649154575 503.078494711712 578.670749549593 720.3840952222
T[36] 395.898772520746 596.868544564028 745.057017122519 898.204274967144 1159.42716154733
T[37] 714.989155317782 1069.74662509661 1235.12610261192 1409.55745431143 1799.1275152113
T[38] 702.147142984079 969.839889052172 1137.50854906875 1273.13872602937 1573.14438610737
T[39] 410.794872423621 789.250917369602 937.492722719072 1103.6248558794 1388.86034889546
T[40] 761.555227617788 1029.29108232999 1179.28507959921 1332.06270964282 1640.01242184213
T[41] 373.991948925137 632.773523360489 776.130857955 932.500512053075 1197.5162267786
T[42] 729.81484994109 1069.19012238927 1208.93873029971 1344.2722444332 1627.61365796037
T[43] 443.586554863373 761.978642732754 891.071456010648 1037.10075644473 1344.4160955424
T[44] 371.809546555134 743.045459417785 870.048772735207 1022.37113833035 1320.14228077692
T[45] 764.658091088782 1142.83256770805 1334.16854524121 1498.14278102547 1837.8925725574
T[46] 139.696859355701 449.384633645895 776.321683444771 988.862287347378 1463.53456567806
T[47] 822.773614148341 1061.22192406562 1220.36560529493 1385.52860856319 1683.37450734469
T[48] 175.016063942492 676.7102443295 920.803307831861 1084.68024996258 1372.78316875926
T[49] 320.764010631622 440.517181041195 508.676795286146 587.189989670801 762.657394917732
T[50] 76.3548500438656 128.84306177408 178.98382285407 280.997603785619 914.709803094441
T[51] 1267.56486107202 1673.62034309122 1830.12643160461 2068.26090630597 2531.69429856627
T[52] 1277.03049719212 1648.3154656633 1849.67980386062 2048.3949883162 2460.36621928157
T[53] 406.315488592189 668.365087465911 793.691931425494 927.394445743885 1185.55762357882
T[54] 298.461812145459 428.429729740724 494.862561006682 572.392482622463 739.13665445431
T[55] 255.49047343081 345.19694773241 388.765549423406 446.652448717535 566.211209566433
T[56] 683.364037527479 934.89400480097 1068.34002207172 1200.87092544065 1449.06759993013
T[57] 208.226053954543 294.01320099029 350.926369773214 409.810729971136 560.286122191618
T[58] 198.9991199149 257.128575689997 303.448627121407 350.019153334237 449.77507133214
T[59] 287.803058578452 384.922526430435 457.96277922304 555.403621422716 730.830590811058
T[60] 211.881420871145 355.159831303918 462.38455343117 618.26199205786 876.281748235268
T[61] 212.521680621397 288.910818032769 340.516364828803 395.216194588894 513.97930939371
T[62] 280.72398946975 378.69834928474 462.733233832996 536.175289548422 695.960118375429
T[63] 250.096223095229 317.66482346768 357.527181452899 400.042059270701 485.442566550177
T[64] 303.589122207895 403.430650833538 465.579653651937 530.941909969437 715.197023109446
T[65] 494.923541793496 710.642913346626 845.742658322663 987.781646470405 1251.05416472517
T[66] 455.274761269942 624.672551543808 738.192305612205 843.956995995516 1042.33136105804
T[67] 518.849777065477 718.782945743208 838.186140629738 940.605382031742 1152.53061431622
T[68] 230.207473604032 317.143899345373 361.387105449044 414.74834820588 547.453385164986
T[69] 276.534608013169 362.159915490527 415.27990586214 464.081422490369 592.050949304624
T[70] 393.11138816245 502.493263752666 575.40801374401 646.529921741949 810.870961832764
T[71] 462.229476748223 610.28198114468 695.303484217944 783.888506969841 979.59535058807
T[72] 200.400043637226 841.732875031074 1086.193932742 1318.37887184716 1613.34269090558
T[73] 226.615741506382 383.843225473067 506.255429918565 635.9524198047 882.644442715929
T[74] 333.731793483169 523.565857346896 621.608674313503 706.766091704731 928.513473537999
T[75] 334.164327233442 507.443545864248 588.563307506764 697.756688025109 900.44300105063
T[76] 281.019386163885 363.525694596137 409.938238067658 455.605934814169 568.601542245265
T[77] 321.151754627332 420.834620428273 494.829842098835 555.009940487587 703.665417456334
T[78] 304.488915501866 389.425148760393 444.678157871422 508.056069715942 640.857936866786
T[79] 343.60938926011 454.289872793258 516.689816122024 597.735014405335 782.263587120501
T[80] 359.110057432027 452.156144700168 513.562088591215 568.262797969359 692.203395951254
T[81] 338.102637606022 440.126761592027 495.409412248291 553.993543829896 709.392621569269
T[82] 366.162620613833 486.480200444216 548.221976755306 612.398161380924 735.157643388347
T[83] 298.37890310217 382.657720694031 439.015109402673 494.645016190553 600.475588183139
T[84] 283.184331083688 367.433563336349 416.424203990892 458.467472164725 551.994764614452
T[85] 80.0440716680909 156.012723404774 806.226223098122 1235.09197893583 1690.79352292777
T[86] 549.269137164587 880.629333278272 1032.84599634907 1158.72937811281 1501.0130448286
T[87] 305.219224171937 554.15750021056 698.651666509093 833.27313785325 1107.04884418805
T[88] 457.168451807996 721.637994047382 826.845355158131 955.359420051699 1220.72954421047
T[89] 648.6607682008 931.285311300363 1086.35780856869 1233.18701928165 1560.5644405256
T[90] 310.114921825082 575.206491243215 715.355514085619 890.637279926894 1166.62570530322
T[91] 950.850066238881 1264.40421056334 1439.73889198704 1632.16465177737 2007.64756886902
T[92] 338.229593519165 523.080669077666 643.884935726703 761.367444340576 952.919586510143
T[93] 427.672174385941 627.094698957619 741.130632554512 870.441157415554 1095.88724767069
T[94] 497.932472486358 755.631077322444 913.675142295824 1032.78165494311 1347.31192702968
T[95] 938.496602937988 1297.36469580968 1454.74619413018 1630.14942186668 2041.3674741468
T[96] 364.931793770991 560.51134557866 694.464203116143 829.45015224785 1066.24219734264
T[97] 321.315076893728 604.173010120772 752.438448838257 885.417139680132 1146.91014807385
T[98] 406.716028693352 647.871943794254 794.121663377689 933.705784206326 1169.34540642958
T[99] 549.161947206412 911.171632549569 1069.27463425531 1211.7363830704 1495.99485543106
T[100] 469.990735882967 692.666114737657 832.953736922386 959.020516601645 1220.46225688436
T[101] 286.028889911945 650.830167264752 814.895569418712 959.41322103684 1269.59537267586
T[102] 615.549864332518 800.250844764565 925.31998490762 1037.28194387265 1288.88561753929
lambda 492.348426586564 496.906730172493 498.406671862654 499.302843544592 499.911987178216
loglik[1,1,1] -9.16886938472923 -8.86431605560785 -8.74793633012494 -8.64754353227487 -8.46201740117751
loglik[2,1,1] -9.33186491973383 -9.07727139116305 -8.98855104703316 -8.91893976195486 -8.80096917371705
loglik[3,1,1] -9.13996226050596 -8.66012817190185 -8.45991657693549 -8.29848893948358 -8.0070672540373
loglik[4,1,1] -8.47210737787568 -8.24343838283971 -8.1427432192739 -8.03892017711622 -7.89772305927083
loglik[5,1,1] -8.88889125086893 -8.40273347595079 -8.17553438536316 -7.99258334954118 -7.7140382316674
loglik[6,1,1] -8.90047846644712 -8.65623517957384 -8.52862466784963 -8.43619174366185 -8.26210655121213
loglik[7,1,1] -9.22600201128715 -9.01274477123814 -8.91886752657344 -8.82606285134809 -8.66266876427991
loglik[8,1,1] -9.0780425001343 -8.83140739525502 -8.73709320710369 -8.65104726961168 -8.52166396416213
loglik[9,1,1] -8.97749394702747 -8.79425568929869 -8.71749659621921 -8.63910633445379 -8.51123231853072
loglik[10,1,1] -8.82239658327364 -8.65480464785922 -8.55462219478353 -8.47125202941611 -8.3394298382505
loglik[11,1,1] -8.90997869040399 -8.66894198678563 -8.55442322451484 -8.44476853239254 -8.29900995209823
loglik[12,1,1] -8.93134130430107 -8.69348207441146 -8.56908988205257 -8.47067175223631 -8.32618987415755
loglik[13,1,1] -9.19647487684901 -9.01343822550503 -8.92793286905263 -8.85322970161357 -8.70900864486402
loglik[14,1,1] -11.0415039293796 -10.5003456453891 -10.3529097003674 -10.2144565494913 -9.65518700514754
loglik[15,1,1] -8.59580555352411 -8.34010831934063 -8.24520641676767 -8.15603617016086 -8.02911558693207
loglik[16,1,1] -9.03582199669662 -8.87284027386002 -8.80349621501925 -8.73224041925804 -8.62589847202358
loglik[17,1,1] -8.91924826196318 -8.69814991970208 -8.60130607530775 -8.50658460643002 -8.37318697631102
loglik[18,1,1] -9.71923810545428 -9.5018502541654 -9.40417391209974 -9.30581722234044 -9.13032016286514
loglik[19,1,1] -8.90446324519351 -8.72269950412736 -8.62029933241607 -8.53916623055628 -8.42081287798774
loglik[20,1,1] -9.90672071972288 -9.63543681352734 -9.49049818605918 -9.37672348243679 -9.20077628696855
loglik[21,1,1] -8.83669111190983 -8.58933290157926 -8.47275417363074 -8.39273353115579 -8.25219982151362
loglik[22,1,1] -9.24741532126338 -9.03709819346629 -8.96703890023043 -8.87953204315282 -8.74492041846381
loglik[23,1,1] -8.96129476532138 -8.79967298295872 -8.72057856127154 -8.65693616946032 -8.53039566091904
loglik[24,1,1] -9.34769472474581 -9.19218383436931 -9.10032152355596 -9.0155687118357 -8.87450283724102
loglik[25,1,1] -8.57750129121622 -8.3773481430058 -8.28689112503925 -8.20684506981755 -8.06868542385338
loglik[26,1,1] -8.97629797908888 -8.79681247359123 -8.71944791522996 -8.64694159572534 -8.50649951952494
loglik[27,1,1] -8.76707283321848 -8.62615219778684 -8.5466179309561 -8.48366075229917 -8.3677810112097
loglik[28,1,1] -9.54552834857474 -9.32478066663586 -9.20763428834516 -9.10731975753399 -8.9602493602589
loglik[29,1,1] -8.76808962882333 -8.59622822610468 -8.51185859922946 -8.44764889239391 -8.33035065845152
loglik[30,1,1] -8.6077245638725 -8.42570905301912 -8.3297838091869 -8.24245059375271 -8.1262437779857
loglik[31,1,1] -9.36022790579827 -9.16462067739612 -9.07528274266426 -8.9956407313497 -8.87339356679859
loglik[32,1,1] -9.10101837685937 -8.88798130054233 -8.80313679048185 -8.70874510399894 -8.57522838158804
loglik[33,1,1] -8.86176593801455 -8.54440663302979 -8.41209812976298 -8.31118084654427 -8.1342398074763
loglik[34,1,1] -8.91387415117387 -8.76135952579981 -8.69536513261005 -8.62932674358625 -8.51736874001712
loglik[35,1,1] -8.62879260887547 -8.23438890348708 -8.07710881716457 -7.9269055783101 -7.72616559443237
loglik[36,1,1] -9.27215928199307 -8.81528947532157 -8.68836172083465 -8.55763873393895 -8.35791283520595
loglik[37,1,1] -9.38298432625754 -9.19935409727189 -9.1143515449392 -9.0455537814365 -8.91547529722537
loglik[38,1,1] -9.08128724151616 -8.82197435354633 -8.72743742283731 -8.63839199731601 -8.52736336990566
loglik[39,1,1] -9.38537806892948 -9.05109473828224 -8.94313508677422 -8.85647967643924 -8.74980536194586
loglik[40,1,1] -8.76118222837693 -8.60918429187156 -8.53235268655014 -8.4687121240933 -8.36207236077253
loglik[41,1,1] -9.86849331380308 -9.60250271208652 -9.42026597049602 -9.31402247429738 -9.10471276154779
loglik[42,1,1] -9.05950257781762 -8.83653751004272 -8.7471139057429 -8.68211441032369 -8.583268293353
loglik[43,1,1] -9.15393610058521 -8.86094221727013 -8.77264594892066 -8.69696617000801 -8.55401732406116
loglik[44,1,1] -9.92196104919889 -9.59585925362429 -9.46205513281492 -9.36010804613305 -9.21018699156434
loglik[45,1,1] -10.0431472378759 -9.62791088357453 -9.49076017188987 -9.37696939523561 -9.20711879421436
loglik[46,1,1] -10.2772289710505 -9.79263738877348 -9.51857374882672 -9.3380614245702 -9.1071340122506
loglik[47,1,1] -8.94519926519199 -8.55676110865541 -8.39780850143938 -8.26582512427884 -8.05565733735014
loglik[48,1,1] -9.88090010661258 -9.22867481156647 -9.08509301376994 -8.98475387274238 -8.86025083197299
loglik[49,1,1] -9.71816955041786 -8.98171161536392 -8.64842648252094 -8.34927509691535 -7.96649266389731
loglik[50,1,1] -11.0201937980188 -10.082467506799 -9.78224634451861 -9.54454573306511 -9.05049124967861
loglik[51,1,1] -11.1247713579293 -10.2606775392671 -9.95044495408751 -9.64164780324454 -9.1674773353968
loglik[52,1,1] -9.22152264579953 -9.04849470140676 -8.98655473755624 -8.93011631807905 -8.82215802994584
loglik[53,1,1] -9.33278171354968 -9.03658300464762 -8.92746174769829 -8.83259781662708 -8.68963695081243
loglik[54,1,1] -9.27091862272702 -8.71926796443984 -8.50828715194556 -8.28110705377513 -7.95035466983748
loglik[55,1,1] -8.94491924819315 -8.72250677151544 -8.6386829166645 -8.55689987299965 -8.42371568210489
loglik[56,1,1] -9.00121508940223 -8.70570493820605 -8.59988548166047 -8.50387882209968 -8.38046406637211
loglik[57,1,1] -9.39710901866136 -8.91500825531452 -8.74565700776922 -8.55762990204063 -8.33933663374878
