2.5% 25% 50% 75% 97.5%
T[1] 202.928428523063 282.466761559396 331.617455046941 389.990132225439 528.678817743606
T[2] 490.211840228493 991.462762909532 1159.8743360282 1313.52172536335 1560.27608433199
T[3] 239.487006401104 316.256848534203 364.043260689527 414.538240443359 526.072334875002
T[4] 348.70663233624 455.589623016778 518.076162921905 584.659333350235 723.903054803248
T[5] 409.419621700229 514.568872273444 573.84627866178 636.776437870789 757.710127161486
T[6] 240.929265255766 338.035184785283 398.052539111373 464.404848595698 605.165203474393
T[7] 223.859024282106 312.277520721607 374.925503798797 451.146104259999 610.819405563122
T[8] 242.420973768257 336.474303352186 397.971267781622 464.164779688243 605.797238369536
T[9] 278.920442237648 387.139452722124 452.133607780603 521.861373266344 672.335313953616
T[10] 279.549824795835 383.047382581709 444.148806444955 510.660671746506 647.573140096704
T[11] 305.674849613356 432.26229427741 510.748360307346 590.776053911387 760.051963404671
T[12] 411.09361864065 565.334750587083 657.423266196117 745.04954669737 916.344832704098
T[13] 246.686709853721 340.711385628788 399.889279594401 466.327364786555 607.728598534994
T[14] 81.5901711286221 124.220011886764 151.113168615871 183.282069801043 263.463403890686
T[15] 273.84776693534 345.921078451612 391.870005376846 438.387475062732 535.777435529432
T[16] 273.461435774669 351.321120592943 396.481858565514 445.169539801106 553.61549363112
T[17] 381.6455283724 574.797525414849 687.662442042621 799.999284141783 1014.45558349964
T[18] 345.951445435172 515.794593636257 616.724763839412 723.936697493759 920.301307803027
T[19] 378.629360458507 533.470489107547 620.187432739241 707.9864411981 889.018653474276
T[20] 173.478973299626 282.163480635284 379.315977500833 524.441011313802 887.665354442698
T[21] 317.562220067179 424.598089240699 489.778969279247 560.434880233208 695.644519324465
T[22] 326.142315533239 435.614347045332 498.259345204079 566.713954392398 699.187827314749
T[23] 318.365537150358 410.534209578337 464.376936969284 526.001255158637 649.381324214799
T[24] 258.113097753416 360.615537956064 423.176989123384 500.06062920511 663.176634087378
T[25] 287.644471510618 376.404831789216 427.609827757827 480.627018506091 589.476452761779
T[26] 307.582549396334 415.952664407857 480.319973373199 548.962424224272 683.811091573118
T[27] 262.524348335189 339.489836735097 380.454056767967 427.280736900416 521.829095008356
T[28] 290.584965880641 448.856527408528 556.487405286754 674.348595151826 895.593269455431
T[29] 505.700308257707 669.952200867024 756.209522792208 842.081378994146 1011.48644857274
T[30] 471.606592337049 619.678717827704 707.591943427947 790.973926639479 947.603257134171
T[31] 381.572007217256 495.99181075689 562.871881598358 630.7535795483 765.776493994788
T[32] 312.10875627844 463.134679441453 567.176282918633 666.94802594704 865.115439871823
T[33] 234.644926053228 312.711742108195 357.465546921598 403.348875709592 512.336057324773
T[34] 336.602634887147 430.94905548327 485.025758582034 542.6396786026 657.62978247199
T[35] 317.99946579874 400.093523780806 447.434643437871 498.823488310497 609.561060647069
T[36] 359.3034533859 643.852465903946 800.42738026217 943.75145288821 1196.40031228077
T[37] 156.332215372217 309.200194003473 928.461172425092 1282.51921831604 1662.51246627878
T[38] 848.550123325321 1167.5348034864 1305.17698352958 1440.39254575865 1681.78833864556
T[39] 149.068718541819 264.695090830373 592.623216237371 1151.32314325855 1585.70172232469
T[40] 815.912783668413 1020.848011881 1128.31709899689 1232.13808319507 1419.30596804946
T[41] 292.958422102913 569.411737123637 763.67454622974 936.661336323105 1218.73143095545
T[42] 1008.94054712579 1289.60940679263 1423.13959991316 1555.16247596878 1803.30474328185
T[43] 200.645275523241 394.398293059311 759.143393505554 1040.1613045605 1371.72006923017
T[44] 251.03349500907 864.551441239247 1098.48184899937 1274.80216930883 1541.2669158744
T[45] 84.4764206490025 126.408330645958 152.336880121732 184.821599036675 265.98861019533
T[46] 96.4783669133854 148.827871336105 181.551117364657 224.830034039224 372.601393548798
T[47] 791.015248340219 1013.90280110787 1129.13320917131 1240.5040711557 1431.78842865319
T[48] 104.903965830486 153.017248664462 186.075762557605 227.804682921141 367.41901892559
T[49] 316.919305109269 416.998396553589 475.327808967639 539.546208060922 665.207630665903
T[50] 68.8475915253963 111.959408407028 138.004046978807 170.57982605185 252.648869125523
T[51] 82.3493470439754 2391.53689822583 2595.32072635143 2791.54461883144 3104.25606880965
T[52] 61.9812292406307 110.355651226308 161.802955280614 2313.03080660187 2751.69607970286
T[53] 300.003515176624 681.998312101316 900.690553961465 1070.33704677606 1342.13643401316
T[54] 304.377027118128 420.365925571212 487.978331719415 556.481445742258 698.936197141518
T[55] 253.641963764192 328.667966914411 374.139690716347 423.509369304692 523.281299547776
T[56] 710.118846482126 1015.437109416 1137.48155208146 1258.86513540506 1481.33151724551
T[57] 209.936246536363 290.267513732749 348.77967719959 411.881112455459 554.013604106306
T[58] 208.922489575243 278.242549936156 318.36600364212 364.569401920866 465.329849940961
T[59] 290.084596028547 398.7669917366 466.493504889631 535.75619481219 685.103058879934
T[60] 150.709762695438 232.860338897321 293.582946460128 376.692093847838 681.074006741589
T[61] 222.351869000178 307.283322393855 358.178647048535 417.507175476341 546.016127258716
T[62] 271.00183698563 374.18712934397 438.367961122249 505.624212255605 645.285565589136
T[63] 238.614655048796 294.219278295561 328.400528464767 363.405914730217 440.503588394367
T[64] 293.976191595635 388.649235433164 448.37979338219 511.100297918624 635.953993962569
T[65] 418.39527239591 702.171628346821 844.639861451984 980.630703916669 1227.18986402522
T[66] 454.056810729008 613.653822406154 706.763755430936 800.536126767634 976.753207028612
T[67] 520.741498980038 716.238231972951 815.055632483665 911.504977189523 1090.32148228752
T[68] 242.257693286018 321.803506540097 369.739855167611 422.959267076922 528.874922337215
T[69] 267.602331138282 342.71339524394 387.128682379631 436.112865017815 536.31716616321
T[70] 359.187405076817 460.779445402327 519.936332957893 579.835040264919 698.990814299437
T[71] 414.353646549377 515.868062483568 574.323130709958 634.645345830707 754.270527905685
T[72] 87.9978923363469 143.266766299131 184.457700780302 286.622388129467 2103.06450517647
T[73] 213.77543002273 336.558024544935 428.491819945723 544.843798302616 826.377906552315
T[74] 306.373099512574 455.905788930251 552.79049838796 660.421702112863 870.740687759545
T[75] 349.747274407115 513.364485646749 612.91037765486 723.100587839265 922.381414238841
T[76] 269.992141460553 349.033914248106 393.697954693059 442.920336162679 544.362376232734
T[77] 293.686721954806 381.841038121911 436.463882808108 493.457347522945 604.405729888091
T[78] 292.53043319243 372.313416005029 418.776352218153 469.949989440311 568.938877893895
T[79] 322.055860570873 423.915347962648 482.164061770132 546.468510841683 675.826813851267
T[80] 307.575821000214 379.647127425494 420.370590089221 462.421636376474 544.938197096249
T[81] 311.264220584106 402.360792280601 455.589789632373 508.853880067083 615.039694077749
T[82] 330.86375465354 420.868765209836 476.027344665376 530.971357867646 646.177409556856
T[83] 282.489387170833 360.769113336302 406.226926838107 455.394647252873 554.675124067269
T[84] 268.376036497126 335.057522408493 374.092780847039 418.867158848143 505.866494756796
T[85] 59.3988545693984 98.3791005806678 122.620436011811 150.97346777793 222.264720643484
T[86] 397.317466107387 893.985005534696 1075.00858710137 1227.63061710613 1504.3643896816
T[87] 270.972684606783 495.435308901497 661.186587006214 830.734426426636 1112.45175267168
T[88] 376.734965832141 723.390430525052 893.372038424216 1036.54274453118 1282.05486956772
T[89] 644.798058276306 992.515337263397 1148.77851002073 1285.86795461262 1546.71846728167
T[90] 192.844665157537 357.879445011553 562.699582783314 844.958543226901 1232.03112534361
T[91] 258.173239163266 1651.45357805481 1824.23284241186 1979.59892232663 2281.70358847132
T[92] 261.106840610575 412.535923562953 539.288215443734 682.972579648139 935.22595275673
T[93] 466.93531823876 681.08432521958 793.465141188741 902.913553800311 1110.28674853972
T[94] 375.259493296257 847.094125555272 1029.67832009926 1184.81997268442 1450.13213506487
T[95] 1333.88183988137 1660.63059019952 1813.66214449051 1964.64157874966 2256.49517708243
T[96] 325.159563254505 598.554743379945 761.984017651351 918.940017677104 1175.53739581347
T[97] 186.754908831307 306.957819826286 442.360443632486 703.325798269418 1136.45906607482
T[98] 211.495291083396 395.590311388087 671.90119757937 945.816569202302 1273.13559871784
T[99] 811.301697800406 1300.65542230788 1449.20302487778 1594.57466702966 1854.03157423022
T[100] 410.619651475301 696.456465890917 848.446922322295 985.062190737763 1219.45149221199
T[101] 151.730673174773 238.307417808562 338.805911163239 696.717748665722 1354.4055560325
T[102] 582.949523748267 796.308743326771 904.393851917965 1005.38970980269 1205.79932027155
lambda 493.288724992209 497.30723539469 498.670047365915 499.432467220937 499.949740636944
loglik[1,1,1] -9.07992419660987 -8.82742251444673 -8.72772224120952 -8.63767346502615 -8.49462229895554
loglik[2,1,1] -9.3756453668959 -8.99058095773971 -8.88149403542018 -8.7976580039938 -8.69984213658233
loglik[3,1,1] -8.54866424808853 -8.39803156586682 -8.35733794069859 -8.34055437795199 -8.33027034462935
loglik[4,1,1] -8.48534901187135 -8.37757408542498 -8.34902359136954 -8.33697261930088 -8.32930633562887
loglik[5,1,1] -8.67532916282411 -8.47712707845747 -8.40436274370564 -8.35784671426279 -8.33070200918437
loglik[6,1,1] -8.86729006055993 -8.64134463927864 -8.55274478670918 -8.48210287420655 -8.39231323372072
loglik[7,1,1] -9.19650158647486 -8.986630882355 -8.88643548024706 -8.79169174209355 -8.64261455446764
loglik[8,1,1] -9.01800299360235 -8.8100678527017 -8.71752443964106 -8.6402884696747 -8.52163169634628
loglik[9,1,1] -8.99567884573264 -8.81041473639089 -8.73073811338891 -8.66009556875384 -8.54631479747263
loglik[10,1,1] -8.88394392360792 -8.69996393015086 -8.62329738713955 -8.55800748060706 -8.46253486066744
loglik[11,1,1] -8.73875983176838 -8.55203089504894 -8.47986880971282 -8.42719467039563 -8.38162515114592
loglik[12,1,1] -8.67165613401335 -8.52052301352798 -8.46491241133983 -8.43032396656459 -8.40849044041949
loglik[13,1,1] -9.19164724407598 -9.0067125445142 -8.92373473606935 -8.84661327626122 -8.71439129151373
loglik[14,1,1] -11.1714606711956 -10.5776351715115 -10.434213998037 -10.3535350168261 -10.3093041493021
loglik[15,1,1] -8.6135562593717 -8.47484392560647 -8.41819931711574 -8.37676701655884 -8.33476833896857
loglik[16,1,1] -9.00090617569839 -8.85364804507946 -8.7885312472762 -8.72933923306721 -8.62310290124122
loglik[17,1,1] -8.77185852748335 -8.57198698119186 -8.49945904069343 -8.45420664155669 -8.42863065254475
loglik[18,1,1] -9.58441908586539 -9.4539721085589 -9.37845073328532 -9.2964668948891 -9.14687929402837
loglik[19,1,1] -8.80920717072886 -8.63666116547137 -8.56861781679127 -8.51458655272024 -8.44980566809109
loglik[20,1,1] -10.0379102032756 -9.85854531398889 -9.80059212052024 -9.72707729144739 -9.48298529351316
loglik[21,1,1] -8.70116859342099 -8.54395565012987 -8.4792523333163 -8.43066299435673 -8.38009267033173
loglik[22,1,1] -9.14178507220507 -9.00044979573304 -8.9353337926014 -8.87063446939491 -8.76330495107447
loglik[23,1,1] -8.93274164989026 -8.79588203923626 -8.73371675798689 -8.67224216106557 -8.57382621327051
loglik[24,1,1] -9.30298395958109 -9.13454147894499 -9.05860601921567 -8.97908495757821 -8.83590300644897
loglik[25,1,1] -8.65228138060628 -8.49923568137048 -8.44126440915632 -8.39873079487063 -8.35135065152486
loglik[26,1,1] -8.91936168876919 -8.7544833367019 -8.68195646193397 -8.61835237808435 -8.52283067217519
loglik[27,1,1] -8.85221944652855 -8.68917562151252 -8.62636785170711 -8.56762819551425 -8.47949149785792
loglik[28,1,1] -9.5610048771822 -9.40974382498578 -9.32314233145883 -9.22961684398485 -9.0597946020901
loglik[29,1,1] -8.68635454848657 -8.55615822543828 -8.50918298593309 -8.47572669652704 -8.44760942615106
loglik[30,1,1] -8.52365286296832 -8.42506675300863 -8.39706927026917 -8.38687348472571 -8.37963627893071
loglik[31,1,1] -9.21020623993068 -9.09261008289192 -9.03115603085519 -8.97274773866648 -8.8662071801309
loglik[32,1,1] -9.05345012409307 -8.85027601546774 -8.74808514119698 -8.66957763973389 -8.5542395752906
loglik[33,1,1] -8.6906830651694 -8.49990358484114 -8.43059755575382 -8.38255511009695 -8.33083522260383
loglik[34,1,1] -8.90392464411905 -8.77295125552023 -8.71345772344898 -8.65909412379285 -8.57133714846174
loglik[35,1,1] -8.45709464103328 -8.36199449829939 -8.34112944780449 -8.33393461699645 -8.32462421406993
loglik[36,1,1] -8.76427914997906 -8.49630690305965 -8.44068855897526 -8.4205828355539 -8.41202330543794
loglik[37,1,1] -10.1267631288832 -9.87417136989824 -9.50535290562215 -9.24224710321775 -9.00121959058965
loglik[38,1,1] -8.75908843752847 -8.60412268024422 -8.57129517655424 -8.5572432667819 -8.55060506022753
loglik[39,1,1] -9.90111570309983 -9.53771609718221 -9.2163888593607 -8.81649261357085 -8.64806859587746
loglik[40,1,1] -8.68871351883666 -8.58509327725699 -8.55081669800678 -8.53113806609843 -8.52192532325383
loglik[41,1,1] -9.7674690589044 -9.58850909413886 -9.45236402506641 -9.32254819619035 -9.11761530566933
loglik[42,1,1] -8.78547246022138 -8.65310422719074 -8.61662870599107 -8.59818722470727 -8.589471600211
loglik[43,1,1] -9.50140992334415 -9.14662136343388 -8.82001983029975 -8.65208564264392 -8.55861201314775
loglik[44,1,1] -10.0253827160029 -9.73301440221852 -9.56154171576021 -9.42893384497955 -9.23909830265258
loglik[45,1,1] -11.0505838612422 -10.4926664887558 -10.3513590966243 -10.2610043702505 -10.1959073105243
loglik[46,1,1] -10.7024997398996 -10.2074698868297 -10.0860482200838 -10.0050605078648 -9.91592562368188
loglik[47,1,1] -8.76992687070131 -8.57093022418496 -8.48796381082471 -8.42910935100309 -8.39396635386835
loglik[48,1,1] -10.3820129213218 -9.94482660635111 -9.79980575964528 -9.69142030747436 -9.51820262289871
loglik[49,1,1] -8.92896135583149 -8.61098238625623 -8.49684189853597 -8.42645658786787 -8.38810243623269
loglik[50,1,1] -11.2226856600775 -10.2150711583654 -9.9527027762777 -9.75736488713153 -9.52241412043763
loglik[51,1,1] -10.8883693600027 -8.87674054769032 -8.78245972430645 -8.72791666755143 -8.69532617939179
loglik[52,1,1] -11.7317407642892 -10.5196266550078 -10.167865854727 -8.8353176845542 -8.78224907935141
loglik[53,1,1] -9.37402314311219 -8.99879700472364 -8.83709100886513 -8.73528053693468 -8.62587724613098
loglik[54,1,1] -8.58150456028631 -8.40415741289822 -8.3569618894865 -8.3380784473934 -8.32752188875271
loglik[55,1,1] -8.89904755369884 -8.73294792890632 -8.66036999937962 -8.59624528026096 -8.49987275853686
loglik[56,1,1] -8.62565339755512 -8.50992594512529 -8.48766720771892 -8.47958529098228 -8.47322984216783
loglik[57,1,1] -8.81074933895772 -8.56434548521779 -8.46166542349306 -8.39133579950805 -8.33209842026214
loglik[58,1,1] -8.65895013073423 -8.45562069416421 -8.39262649175796 -8.3528142248894 -8.33265682991118
loglik[59,1,1] -8.53680735275234 -8.38597582410745 -8.34635263946428 -8.33062133347072 -8.32103809296654
loglik[60,1,1] -9.791296624526 -9.46639628948004 -9.35081624081752 -9.24161082914158 -8.9596675019076
loglik[61,1,1] -8.68017306249503 -8.45999311074456 -8.39009566246191 -8.34408647359397 -8.32207071718226
loglik[62,1,1] -8.52698981337395 -8.3759189151176 -8.34362171967134 -8.33059210186041 -8.32157615534567
loglik[63,1,1] -8.64404717865706 -8.51113570105505 -8.48061791005542 -8.46781838756484 -8.45643026818288
loglik[64,1,1] -8.85917255581757 -8.56404678545824 -8.4660861556296 -8.41066375716438 -8.38881871947286
loglik[65,1,1] -9.03670506964805 -8.77676083429196 -8.68093401386063 -8.60958276505481 -8.5363632374593
loglik[66,1,1] -8.75950354000458 -8.49600798146932 -8.40310804480634 -8.34733042349137 -8.3233650898239
loglik[67,1,1] -8.56219014313699 -8.44850420392258 -8.42368662716603 -8.41370969611808 -8.40639960705702
loglik[68,1,1] -8.57085975418599 -8.40650191170399 -8.3578745062832 -8.33443298263958 -8.32324177103103
loglik[69,1,1] -8.50682493218915 -8.38446076613529 -8.34903008177002 -8.33157127543232 -8.3218885933215
loglik[70,1,1] -8.45172821339151 -8.36296528457288 -8.34152464428769 -8.3329452784636 -8.32450436614359
loglik[71,1,1] -8.42220234713396 -8.35876020232865 -8.34354281168681 -8.33790537134731 -8.33038111149605
loglik[72,1,1] -10.7004866834622 -10.0075503318983 -9.80929164702212 -9.60524563249896 -8.66012935706208
loglik[73,1,1] -9.19418415272307 -8.90136187679962 -8.77379694596081 -8.65434972301205 -8.48458786380753
loglik[74,1,1] -9.25065932356532 -9.06685122079612 -8.97376156665404 -8.88087186978464 -8.73138050593116
loglik[75,1,1] -8.80261648597357 -8.60472005925003 -8.52860205536712 -8.4681812143538 -8.42453318351754
loglik[76,1,1] -8.68178990362331 -8.52530807355698 -8.46565318785353 -8.41687364151059 -8.35753316541074
loglik[77,1,1] -8.46893238935814 -8.36541296908557 -8.34133437521568 -8.33197723679375 -8.32306405487193
loglik[78,1,1] -8.84981014347255 -8.70740667128936 -8.64553381431136 -8.58894646747494 -8.50463579998049
loglik[79,1,1] -8.59848119185759 -8.4599078588501 -8.40972387374592 -8.37404602054328 -8.34863262513095
loglik[80,1,1] -8.47562855764742 -8.38811891988496 -8.36548559964464 -8.35650204763756 -8.3469388103225
loglik[81,1,1] -8.77978853807921 -8.5457143849565 -8.46371930412873 -8.40965040365181 -8.38524724433589
loglik[82,1,1] -8.46718023403665 -8.36859269434483 -8.34098018792483 -8.3295314866074 -8.3209670518508
loglik[83,1,1] -8.5469807446247 -8.41571099234148 -8.37134525227166 -8.34169429596155 -8.32332247637868
loglik[84,1,1] -8.57323038392945 -8.44759215944781 -8.4141816742752 -8.40136507125978 -8.39080047130233
loglik[85,1,1] -11.6919651375818 -10.4380320840152 -10.1115787119322 -9.88848351264238 -9.61808512327413
loglik[86,1,1] -8.82897794590166 -8.55026565893627 -8.46714465260207 -8.42267283250376 -8.40643540130974
loglik[87,1,1] -9.25124968348819 -8.95471714666659 -8.80829956165007 -8.68966609598189 -8.5617353815832
loglik[88,1,1] -8.72581217732261 -8.48176767290028 -8.43428327602222 -8.41594439771167 -8.40796141687277
loglik[89,1,1] -9.3748798086519 -9.11237134832961 -9.00407671366655 -8.91832782798326 -8.78732827033248
loglik[90,1,1] -9.70511993003554 -9.4236174737768 -9.24233986961994 -9.01946891270873 -8.77398013368607
loglik[91,1,1] -10.0617195059878 -9.23377660576132 -9.12628048561487 -9.041312991739 -8.91089850298756
loglik[92,1,1] -9.18995861316208 -8.94596547840188 -8.81277798438617 -8.69396924850859 -8.55227936312468
loglik[93,1,1] -8.56537222563529 -8.42217396614753 -8.38567150028912 -8.37061892738027 -8.36307926383196
loglik[94,1,1] -9.92016500869285 -9.67015137588328 -9.53625770822494 -9.41950993031953 -9.22814189396124
loglik[95,1,1] -9.11310187846271 -8.80652870223061 -8.69019717960453 -8.60178396371388 -8.51683347875207
loglik[96,1,1] -9.36997555930557 -9.10487834568326 -8.97322352446415 -8.86069432353749 -8.7147011657882
loglik[97,1,1] -9.54161680668829 -9.24620536369414 -9.07676438225958 -8.84287482579004 -8.60001458568877
loglik[98,1,1] -10.2427921275546 -10.2187534395795 -10.1781052282582 -10.0283219677565 -9.79048730837863
loglik[99,1,1] -9.72434941077652 -9.36313460317395 -9.25706152056008 -9.16043407264057 -9.00935117108374
loglik[100,1,1] -9.17314412975497 -8.91509113724931 -8.8033661442598 -8.71958783026131 -8.61659323018325
loglik[101,1,1] -10.345255428702 -10.1940382573597 -10.1796561108547 -10.1138602559227 -9.66638214617809
loglik[102,1,1] -8.64679782478556 -8.51556677603408 -8.47923919986851 -8.46239960223712 -8.45422727576461
loglik[1,2,1] -9.06191382819478 -8.80773575549096 -8.70780369083899 -8.61797836331795 -8.47712326459192
loglik[2,2,1] -8.93161993281246 -8.6354414403779 -8.51331936627934 -8.43380776203997 -8.39710042694496
loglik[3,2,1] -8.5570125307985 -8.41474638410088 -8.38486835405357 -8.37322978120102 -8.36278487390081
loglik[4,2,1] -8.57712126810952 -8.44897873731696 -8.40300096173091 -8.37262426678786 -8.35412701278787
loglik[5,2,1] -8.47073473631012 -8.36680337538191 -8.33929918086584 -8.32746502608044 -8.31884878008097
loglik[6,2,1] -8.57240330635707 -8.39482284731106 -8.35292491207361 -8.33670572396461 -8.32665502039061
loglik[7,2,1] -8.67941960625156 -8.4566283852793 -8.37831221121207 -8.33677679948867 -8.32041810028547
loglik[8,2,1] -8.67471853343847 -8.46652594029223 -8.39240671712391 -8.34838651731303 -8.32553260153018
loglik[9,2,1] -8.57736989933631 -8.39928986108353 -8.35782036591194 -8.34080052036871 -8.32984455848059
loglik[10,2,1] -8.67425526967505 -8.44878314240148 -8.38850007075373 -8.36359196930984 -8.35199796240378
loglik[11,2,1] -8.93538803847354 -8.55364889709949 -8.43825359227126 -8.37638369871869 -8.35292674238443
loglik[12,2,1] -10.210775374818 -9.43061278076836 -9.0989944618042 -8.80869593585716 -8.48341579776873
loglik[13,2,1] -8.56369461924568 -8.40143114823072 -8.36236223906772 -8.34673222346113 -8.33663249873057
loglik[14,2,1] -10.4509684495047 -9.62734504988915 -9.36073690468169 -9.15436174689794 -8.85435474749893
loglik[15,2,1] -8.61466021330244 -8.45451367195117 -8.4136094815622 -8.3963760075982 -8.38523623802871
loglik[16,2,1] -8.51242272496769 -8.38678798270853 -8.34944092832231 -8.33052834196374 -8.32075687622234
loglik[17,2,1] -10.3250646747508 -9.39200842427658 -9.00434749613805 -8.69528029137377 -8.4063624673171
loglik[18,2,1] -9.00458761495524 -8.58786726058665 -8.43889428648195 -8.36000177304606 -8.3286271963865
loglik[19,2,1] -8.51357769489632 -8.38175584540876 -8.35016415794679 -8.33819747773372 -8.3302363208221
loglik[20,2,1] -8.9928535085537 -8.56375961234752 -8.42485799749167 -8.34787795955817 -8.32221995000329
loglik[21,2,1] -8.88716424460927 -8.57543933437292 -8.46159161505451 -8.39690491489244 -8.36910152298522
loglik[22,2,1] -8.65252446446594 -8.50317468171042 -8.44785306774697 -8.40489416494103 -8.36790993221794
loglik[23,2,1] -8.81077041546444 -8.54082823230283 -8.44951550980871 -8.39977619723109 -8.37594927539516
loglik[24,2,1] -8.86039329093462 -8.65229464275264 -8.56791697133152 -8.49367056486378 -8.40151948210518
loglik[25,2,1] -8.47939362085321 -8.36602390389965 -8.33816067653333 -8.32770084546471 -8.31884387750864
loglik[26,2,1] -8.52346764803561 -8.37988641712563 -8.34533857009587 -8.33263192502284 -8.32301057692922
loglik[27,2,1] -8.5844283334113 -8.43405652304733 -8.38582105553248 -8.35013653497828 -8.32393492218645
loglik[28,2,1] -8.66304839426616 -8.42318017994181 -8.35876994041604 -8.33133363111025 -8.32054398263526
loglik[29,2,1] -10.0750323871017 -9.38920458673945 -9.09709411411183 -8.84429382960016 -8.49671483707766
loglik[30,2,1] -9.08248445949593 -8.71699100324373 -8.56593029740958 -8.44296169819189 -8.33528166129144
loglik[31,2,1] -8.64982638918591 -8.44617074638946 -8.37997136960177 -8.34220206025967 -8.32595859850551
loglik[32,2,1] -9.47354084684713 -8.83683840069658 -8.60532534365319 -8.441716842342 -8.37411536303737
loglik[33,2,1] -9.01064013966328 -8.8210543299968 -8.74232012873118 -8.67781802066806 -8.56208916483555
loglik[34,2,1] -9.49250450140413 -9.01905073703003 -8.82636848516347 -8.67733549326053 -8.50945776671474
loglik[35,2,1] -8.47391314160233 -8.37389154846109 -8.34461827226836 -8.32961141963982 -8.32063503279417
loglik[36,2,1] -10.2663584003896 -9.32852296363079 -8.91309223169004 -8.57463767892834 -8.34653282853823
loglik[37,2,1] -10.1060325163174 -9.1721405072511 -8.79686501065452 -8.54317474195971 -8.34048519415681
loglik[38,2,1] -10.8342119293645 -9.96795267190359 -9.55510919186886 -9.18964026769945 -8.5728745387389
loglik[39,2,1] -12.6990973449575 -10.3886473959292 -8.8620571663807 -8.47508997586469 -8.35783533446688
loglik[40,2,1] -10.2970577824755 -9.65589372521477 -9.34474587498138 -9.06123266937289 -8.63560495891409
loglik[41,2,1] -9.41280829363944 -8.76297957743064 -8.51014818875082 -8.37135513743186 -8.32382265338196
loglik[42,2,1] -14.0007968783975 -12.4487759635069 -11.6979140030392 -11.0003739389508 -9.75811764744926
loglik[43,2,1] -9.37472131311459 -8.77786664558555 -8.55809775147371 -8.40596982662903 -8.33249313222798
loglik[44,2,1] -10.8263799378061 -9.82713125233523 -9.28745470207978 -8.75102842160962 -8.33483933697827
loglik[45,2,1] -10.4384076313722 -9.69575648019454 -9.4575174305163 -9.25950669774678 -8.98846622743254
loglik[46,2,1] -10.1433840996042 -9.47359617725729 -9.26388273325105 -9.0832455944425 -8.76590599686225
loglik[47,2,1] -9.05097549549387 -8.74537547031969 -8.60573227320465 -8.49212317219754 -8.37137738410322
loglik[48,2,1] -9.87135375131542 -9.30925167758997 -9.09447182438228 -8.91674012286082 -8.63019389535779
loglik[49,2,1] -8.98151456648685 -8.83455993557936 -8.76898764658616 -8.7062432965584 -8.60852701172938
loglik[50,2,1] -10.7075358074935 -9.53301249235542 -9.19364692743734 -8.92176216007531 -8.5655766007757
loglik[51,2,1] -13.6855459470556 -12.4254517543864 -11.7292647655716 -11.0858861245277 -9.75090269197781
loglik[52,2,1] -11.8991345687042 -10.6385757645311 -10.0489612746984 -9.60625812687197 -9.11585506132977
loglik[53,2,1] -8.98327239539892 -8.60793674440798 -8.46663067085481 -8.38200234651121 -8.35038800613319
loglik[54,2,1] -9.1173039933891 -8.95277043711574 -8.87872104837939 -8.81280363520199 -8.69866254071901
loglik[55,2,1] -8.67401562309597 -8.50948667145884 -8.444290602304 -8.39487863797179 -8.34023865167048
loglik[56,2,1] -8.81466493245653 -8.57769628782486 -8.48968273014508 -8.43139829428155 -8.39648425533444
loglik[57,2,1] -8.92711727686981 -8.68065464266618 -8.57078957837571 -8.4875862444723 -8.38129081090491
loglik[58,2,1] -9.00364199012756 -8.78328548798206 -8.69694960878049 -8.62077919579693 -8.50152877986745
