2.5% 25% 50% 75% 97.5%
T[1] 1302.1444675064 1491.76523711279 1598.32402434646 1704.43570556692 1912.18358408651
T[2] 1932.08210711468 2185.9252146696 2319.43866722131 2456.74850302147 2718.00591435877
T[3] 925.348059169854 1100.28421040352 1188.29592617366 1282.84824293302 1472.24845063675
T[4] 583.678397766125 706.547033395823 775.2901966934 838.805729736753 974.289557461653
T[5] 608.106788354529 721.961097502415 784.883353475719 841.471590124862 966.098972384894
T[6] 1037.40778260352 1209.55417467915 1299.93967090669 1399.13248476556 1598.00167503329
T[7] 1459.2983776248 1688.66840791793 1804.91719702184 1928.52901191295 2180.3193495592
T[8] 1203.02321013088 1377.49975953419 1472.52248114161 1570.52982814598 1784.13844030128
T[9] 1026.88602701031 1184.21712083533 1267.96672145476 1356.42788842221 1516.10671106585
T[10] 981.090166451976 1140.73385160303 1226.06392302345 1318.24505792779 1503.8450191291
T[11] 1231.12833083974 1417.2099504203 1526.07203298005 1635.60417542131 1849.93699409435
T[12] 874.942080048164 1017.66849374808 1095.3955936088 1172.7765784917 1317.39361022253
T[13] 1216.21649461629 1390.50430144292 1487.46163734619 1589.87768793488 1800.86080227298
T[14] 2110.92617635495 2361.73593846644 2494.62752331701 2629.99120600971 2901.73893510375
T[15] 580.290354475344 716.0275131522 784.036077603942 856.669117796411 998.476572467379
T[16] 711.481874561295 850.17417492731 923.884418725052 1001.16340222622 1149.34440805142
T[17] 1083.646649171 1240.47397771738 1324.90935643935 1412.42228105592 1582.39402197713
T[18] 896.076786718611 1045.77588468666 1128.11465060995 1211.58901359112 1363.19238744812
T[19] 1280.94722711428 1459.8415185728 1555.22213269031 1657.68300681703 1853.57452275568
T[20] 2019.9698075361 2274.45742363222 2411.44519296541 2555.688116539 2833.55464860172
T[21] 1020.78500078549 1187.11528639156 1273.4142862462 1365.7292497411 1544.54992076934
T[22] 955.269388149467 1113.04747562287 1200.39364237696 1289.14281476269 1459.96001901679
T[23] 708.013784181514 845.087302132077 923.935130817243 1003.77905275234 1148.53852373543
T[24] 1194.32116825519 1384.54642503807 1489.3934546183 1604.07327945712 1813.98703914528
T[25] 490.687815324843 624.637840415831 693.024102163553 763.419388086612 900.554960923688
T[26] 918.360293789535 1076.12207526879 1159.87173977051 1254.02277246852 1441.66031481269
T[27] 681.965005587374 817.896607726633 890.747908258835 968.519748030693 1107.24961997074
T[28] 1508.41927127432 1724.53988682842 1835.45790872623 1950.87858401747 2184.55184776785
T[29] 978.119380113014 1118.91561979684 1197.7045520247 1280.95427623273 1447.32483770123
T[30] 1155.09849389249 1320.55314179461 1411.64053192355 1506.20627370803 1696.52162984723
T[31] 693.640223307166 820.268800178735 883.194358097407 951.31174323184 1083.1830194849
T[32] 907.089837539735 1050.59649829729 1127.01341234383 1205.52894993644 1358.32534717548
T[33] 875.187642022498 1036.22925747192 1125.76408989325 1216.50171009107 1396.07059583475
T[34] 421.201432744868 523.878092355403 579.885588781665 636.345271829805 748.579839534665
T[35] 553.512142890208 683.626741848585 756.254471830322 826.041062276777 972.997631188208
T[36] 1360.91072347936 1546.59254776509 1643.60225830174 1744.82817552754 1943.03458798624
T[37] 2182.95959951594 2445.65350337032 2592.2415158305 2730.19773823419 3031.44741988856
T[38] 1521.30393198363 1702.82942344176 1803.718590984 1918.23496421879 2130.09067878494
T[39] 1762.88828574083 1990.8628123797 2112.15350946336 2237.48301581469 2486.15882397826
T[40] 1091.30583826494 1244.70326502867 1328.5638133195 1413.64970273034 1582.25712941851
T[41] 1555.72658732902 1757.60356292476 1875.22701114692 1988.07147432262 2219.62920545465
T[42] 1570.71724118669 1766.28091401144 1878.55436223422 1994.83555426581 2227.15145397304
T[43] 1469.03721528865 1660.81738924441 1763.77924280703 1868.86419157445 2079.72726480117
T[44] 1635.32436772779 1843.02826608367 1953.05339811284 2068.87356186273 2286.00901576587
T[45] 2129.88712676277 2381.43822615185 2513.09647187147 2655.78585538548 2919.5493714065
T[46] 2289.93138766362 2550.28803720995 2690.44454848524 2847.32267197644 3133.11067486952
T[47] 1022.40770907228 1187.74710168624 1268.8860787367 1359.37123876245 1548.60025930609
T[48] 2069.00392925333 2317.48559545516 2454.65378842654 2587.71879981232 2857.99801081067
T[49] 680.508137232508 825.220317641538 900.690881399184 980.09490576706 1136.4583730792
T[50] 2139.92465667085 2391.26994431399 2528.2957106191 2670.12891244597 2946.24201545081
T[51] 3261.08021592712 3597.44424338754 3786.45884432875 3971.93903790574 4315.04770110423
T[52] 3017.34096247179 3364.02770019366 3551.19961835181 3742.21675496558 4101.46151306102
T[53] 1969.68508121924 2205.48894626849 2334.35728746039 2464.79693179804 2733.60394599447
T[54] 712.895902499396 873.827184095932 954.289826357623 1035.83901231627 1199.22699001456
T[55] 778.088620115474 924.181711830538 1003.6575577248 1088.87596569469 1241.55862082229
T[56] 1742.32373620823 1958.814031108 2070.71158167914 2190.02216891231 2417.0009888517
T[57] 891.543745049646 1070.7482236571 1165.760707147 1265.10276505986 1466.65207560881
T[58] 911.755167883696 1074.54499405232 1161.16473369551 1249.59258454301 1428.49843466995
