2.5% 25% 50% 75% 97.5%
T[1] 1310.96866715075 1493.46203596145 1594.85104830641 1698.49162517034 1906.54946323996
T[2] 1936.83605493299 2179.36029367657 2313.25637566463 2454.37792623153 2746.34170753351
T[3] 940.536704255488 1098.53538707678 1189.79098292432 1286.09798934812 1470.81363813925
T[4] 582.582279427241 705.967426167234 773.698197707422 838.437489250066 967.424920473737
T[5] 607.274833261954 724.295756178201 784.772791143654 845.855719950203 970.565029493161
T[6] 1032.80791038087 1212.23964824747 1306.25552651006 1402.56111527582 1592.23812856086
T[7] 1457.50856446213 1690.31440155478 1808.50127939917 1933.85829050914 2176.85130187879
T[8] 1210.33997767379 1376.87552432188 1472.71217477718 1566.88661329994 1757.01003877936
T[9] 1035.09600363822 1188.10611709169 1273.20648494086 1358.98276669263 1537.87389550022
T[10] 974.257094817664 1141.25799371267 1232.02001386997 1322.79263940493 1497.26404533116
T[11] 1231.47962479062 1426.66388243935 1525.99028918208 1638.81413815102 1862.70415992228
T[12] 871.463011614838 1010.86032157891 1088.65638863762 1166.90259355253 1326.45561292989
T[13] 1213.24524681485 1399.26293175217 1497.09538267107 1594.23967015586 1795.17564467242
T[14] 2124.38835932979 2362.51769330994 2495.53511231003 2631.82441609896 2898.62228096546
T[15] 575.261945947259 712.335718479247 787.321487193258 857.074555642953 1003.84055241088
T[16] 711.748698672501 847.718558839893 923.342109981078 1003.9090659513 1158.8274582854
T[17] 1077.19229296864 1241.93227080861 1331.53398497904 1419.44740750867 1585.2150098397
T[18] 894.900725817261 1041.870392722 1123.24753939518 1203.96041185164 1365.71383097235
T[19] 1285.38504137096 1461.3709226988 1551.39754596435 1649.81341272535 1841.25881056155
T[20] 2015.34565638345 2269.54530320674 2409.70471394553 2559.0556375052 2843.10434568292
T[21] 1023.89505952768 1187.18707503915 1272.24958573999 1363.71903892827 1548.14372900371
T[22] 948.093801550034 1109.37403915075 1200.06883747057 1289.18011243347 1459.71205581918
T[23] 702.404819891819 846.101356557454 919.909391728657 1002.14153623345 1168.37205791298
T[24] 1173.44813651134 1375.75099454419 1486.54726669075 1599.57510170897 1827.99105143445
T[25] 490.195595863805 628.020584533844 692.313972107668 765.958595479141 897.432827684885
T[26] 908.98299543921 1076.09921728794 1162.95983084395 1254.15211277156 1432.25019018167
T[27] 682.071967503726 821.250849943679 891.28724617208 966.961591307376 1122.02449193148
T[28] 1523.35886795264 1721.25818830624 1832.10747560229 1948.78519447613 2183.60144577071
T[29] 973.628253177858 1122.70869335007 1201.64560284101 1278.98524315072 1433.5104461628
T[30] 1158.23876371333 1326.78612268124 1417.89160543376 1511.42706316894 1699.01473715451
T[31] 698.442285436041 815.659583649013 882.562757779806 949.820763481512 1081.2159119691
T[32] 904.760467062056 1048.28541712426 1124.52725654322 1200.89958068951 1356.2263496252
T[33] 884.760990965257 1041.8410493549 1127.23647329377 1218.32499990588 1393.26802054292
T[34] 422.339659744808 524.959094748293 578.192317495228 634.179818308462 745.675562483397
T[35] 562.308822143339 687.348037164186 758.107834018564 828.055188031015 970.69066752672
T[36] 1355.59176026489 1540.79872581483 1638.57163878205 1740.42945418851 1951.50925687818
T[37] 2179.53081304802 2442.5027462406 2584.26922899593 2729.38113402894 3033.63293321335
T[38] 1510.66396583962 1707.94872789221 1805.4804797202 1913.1388869745 2115.57980557582
T[39] 1764.5623686544 1997.26331127471 2114.82304737201 2237.83400347528 2481.09258833146
T[40] 1081.08469246195 1243.67320535751 1329.5006368058 1413.60320361543 1596.05505038258
T[41] 1559.46896898627 1756.48817565235 1872.07217817859 1979.47566757732 2208.23546626148
T[42] 1562.67256666644 1761.9171947901 1878.38858685455 1996.72158394953 2240.55998475083
T[43] 1465.26235434251 1657.6681589803 1765.9700646199 1874.411994904 2087.99466846424
T[44] 1644.49710114088 1843.40801777509 1954.70817689596 2076.52793083061 2296.24000811
T[45] 2123.99358820963 2376.60257572047 2515.80963524528 2657.39390668685 2942.95412887222
T[46] 2323.21210513289 2563.88043576226 2702.15389733855 2842.3928371643 3113.16515925634
T[47] 1031.50520015973 1185.83405264055 1275.32281079802 1364.34692931519 1540.12836118625
T[48] 2073.91148725356 2318.32279113483 2448.67223447876 2587.92906975935 2870.48799719944
T[49] 665.534367965576 818.494505687121 893.858876682767 973.192032785081 1124.51853278972
T[50] 2130.80806931165 2405.83879097233 2535.25113776769 2679.69034069504 2974.26442047254
T[51] 3243.57189342712 3600.60604966519 3778.88534093877 3972.47705714406 4352.1375970661
T[52] 3026.58998762871 3349.35190159838 3531.18900354377 3716.79465355382 4085.32581941375
T[53] 1965.25883154161 2212.39765942062 2335.76049119723 2463.4615733088 2747.64497071261
T[54] 708.574705354097 869.584553106702 953.287783240256 1036.45208995142 1198.69406073098
